Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
G2	10	114	Null	Plate_6	13.606967	3.857197
F5	27	189	HET	Plate_6	13.040964	4.8061
D3	2	55	Null	Plate_6	14.647306	-1.4314545
E11	20	232	WT	Plate_6	11.3728075	3.5042336
G2	10	114	Null	Plate_6	12.755859	3.2562182
C9	17	112	HET	Plate_6	14.62533	-0.41153514
E11	21	232	WT	Plate_6	13.166726	3.4222803
F9	14	146	HET	Plate_6	12.88633	2.4652638
F4	15	185	HET	Plate_6	14.301721	2.0327122
G7	30	128	Null	Plate_6	11.908572	3.5358803
B7	27	102	WT	Plate_6	15.349326	0.3157022
F4	33	185	HET	Plate_6	13.073408	6.028322
E10	17	224	WT	Plate_6	14.540514	4.6914163
G5	2	131	Null	Plate_6	11.833225	0.23162465
C10	3	109	HET	Plate_6	15.418367	0.7612692
F10	15	271	HET	Plate_6	13.892563	1.8920785
C8	10	98	HET	Plate_6	14.409003	1.3852894
E11	30	232	WT	Plate_6	11.539511	2.1889174
E9	22	251	WT	Plate_6	12.167759	2.585172
F6	5	162	HET	Plate_6	13.362591	2.4910414
C9	15	112	HET	Plate_6	13.209093	2.3420284
B4	16	88	WT	Plate_6	13.444744	-0.17956416
F6	23	162	HET	Plate_6	14.552039	2.7381241
F4	27	185	HET	Plate_6	13.5372	2.1325486
E9	16	251	WT	Plate_6	14.582321	4.609503
C7	22	95	HET	Plate_6	15.834107	0.13869673
E2	14	141	WT	Plate_6	11.549732	5.0463696
F7	13	137	HET	Plate_6	11.83486	1.7619491
E5	8	172	WT	Plate_6	13.857917	5.3211536
C7	10	95	HET	Plate_6	13.85636	4.369698
G11	22	114	Null	Plate_6	12.826273	3.5470579
F5	30	189	HET	Plate_6	14.151527	0.76970786
E8	16	215	WT	Plate_6	11.013243	4.575793
B2	1	129	WT	Plate_6	15.990969	0.51179224
E8	19	215	WT	Plate_6	10.920435	1.5127546
G8	14	132	Null	Plate_6	10.938742	4.3548985
D3	1	55	Null	Plate_6	13.419532	-1.2289699
D4	35	40	Null	Plate_6	13.610195	-0.5256314
G8	17	132	Null	Plate_6	12.369432	3.030969
G8	8	132	Null	Plate_6	12.340004	4.8973804
B3	30	116	WT	Plate_6	15.438416	1.220178
G9	5	87	Null	Plate_6	12.72966	3.3473244
G7	10	128	Null	Plate_6	13.884489	2.5891204
G7	25	128	Null	Plate_6	12.06052	4.278131
B6	8	93	WT	Plate_6	15.131754	-1.0594499
F2	18	171	HET	Plate_6	14.791112	1.4185778
B3	22	116	WT	Plate_6	15.180994	-0.32874203
E9	33	251	WT	Plate_6	11.320949	1.8574786
G5	2	131	Null	Plate_6	12.422793	2.7407136
E9	34	251	WT	Plate_6	13.7252865	5.4841347
B7	6	102	WT	Plate_6	14.536442	0.27285185
E9	20	251	WT	Plate_6	13.182052	4.0609627
B4	16	88	WT	Plate_6	15.709768	-0.28649932
G8	29	132	Null	Plate_6	14.5303955	4.332735
E10	27	224	WT	Plate_6	13.791072	3.8392987
E10	24	224	WT	Plate_6	11.393759	3.0065966
G2	22	114	Null	Plate_6	12.452739	4.0819144
E9	11	251	WT	Plate_6	14.4954405	4.760091
F3	21	195	HET	Plate_6	13.526247	2.245577
E4	25	131	WT	Plate_6	12.9505625	5.6242642
F3	30	195	HET	Plate_6	12.778867	1.2981391
F8	24	161	HET	Plate_6	14.47742	2.416363
F5	24	189	HET	Plate_6	14.386862	2.5159516
C6	21	70	HET	Plate_6	14.386734	0.4344356
E7	5	194	WT	Plate_6	10.163978	1.5499251
B7	25	102	WT	Plate_6	15.239152	0.62891597
F5	21	189	HET	Plate_6	13.056504	5.64305
D6	32	54	Null	Plate_6	15.513561	-0.2518556
C3	3	66	HET	Plate_6	14.858024	0.60900396
E4	10	131	WT	Plate_6	11.259656	2.0771515
C9	9	112	HET	Plate_6	15.812371	0.8606444
G5	30	131	Null	Plate_6	12.18565	5.2880306
B3	8	116	WT	Plate_6	13.329953	-1.2384914
E3	20	161	WT	Plate_6	10.576382	2.9201713
D4	30	40	Null	Plate_6	13.114811	-0.40343213
E2	1	141	WT	Plate_6	11.808117	5.3522344
C9	14	112	HET	Plate_6	15.546695	0.6610614
E11	15	232	WT	Plate_6	13.449296	5.38464
B4	29	88	WT	Plate_6	13.696671	-0.86974305
F3	19	195	HET	Plate_6	11.760541	2.2951145
B3	9	116	WT	Plate_6	15.241759	0.30764353
E8	22	215	WT	Plate_6	12.390953	2.9867136
E4	30	131	WT	Plate_6	12.089314	5.645944
F3	35	195	HET	Plate_6	14.694582	3.9267423
E5	19	172	WT	Plate_6	10.334456	2.777924
G6	20	133	Null	Plate_6	12.266098	3.3655791
E11	21	232	WT	Plate_6	12.613544	5.186111
F10	18	271	HET	Plate_6	14.837523	3.2630553
G11	18	114	Null	Plate_6	11.328425	2.388454
G3	36	123	Null	Plate_6	13.745951	5.041165
F2	8	171	HET	Plate_6	13.871661	1.2150126
B2	20	129	WT	Plate_6	15.095511	-0.093474984
G5	27	131	Null	Plate_6	11.740275	2.1536882
F3	7	195	HET	Plate_6	13.330305	1.9844266
F4	2	185	HET	Plate_6	13.03664	-1.3196572
G10	36	88	Null	Plate_6	12.433135	1.3640045
G11	36	114	Null	Plate_6	11.739908	4.3977885
F5	27	189	HET	Plate_6	12.370664	0.46961835
C6	3	70	HET	Plate_6	13.666792	1.2939091
F7	4	137	HET	Plate_6	14.385322	3.6467977
G3	12	123	Null	Plate_6	13.464449	3.5290906
E9	33	251	WT	Plate_6	13.857115	5.4292607
E4	2	131	WT	Plate_6	11.714246	3.6572428
C4	30	73	HET	Plate_6	11.804297	5.5661354
D8	23	62	Null	Plate_6	13.9828005	-0.5996075
E3	36	161	WT	Plate_6	12.647083	2.9518006
E7	19	194	WT	Plate_6	12.390877	4.645892
E9	36	251	WT	Plate_6	13.066488	2.8990662
