Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E12	3	57	Null	Plate_2	11.380783	6.446224
A1	2	46	WT	Plate_2	8.07843	3.456453
D6	1	52	WT	Plate_2	10.783493	4.9362116
F12	4	51	Null	Plate_2	9.381551	5.332575
D6	2	52	WT	Plate_2	10.53395	6.793429
G7	1	71	Null	Plate_2	11.496873	4.9004793
G7	4	71	Null	Plate_2	11.473156	4.8127565
G7	4	71	Null	Plate_2	10.061615	4.4108315
C7	4	87	Null	Plate_2	7.830114	3.9699843
E6	4	42	WT	Plate_2	8.272625	3.5023541
A6	2	53	WT	Plate_2	12.751261	6.5484266
H12	1	53	Null	Plate_2	10.216399	6.957417
C7	2	87	Null	Plate_2	10.659919	4.015466
F6	4	45	WT	Plate_2	12.832726	5.5155454
F1	3	45	WT	Plate_2	11.293414	7.1004105
A12	4	44	Null	Plate_2	11.80964	6.08956
A6	1	53	WT	Plate_2	12.108674	6.362858
H1	2	26	WT	Plate_2	10.348558	8.634176
A6	2	53	WT	Plate_2	11.686553	5.483148
F12	2	51	Null	Plate_2	12.304419	5.214342
E7	3	85	Null	Plate_2	8.320159	7.404202
B6	3	49	WT	Plate_2	12.59894	5.8495116
E7	2	85	Null	Plate_2	10.719776	5.694307
D1	1	57	WT	Plate_2	10.65708	7.081764
F6	4	45	WT	Plate_2	5.4774957	4.7014723
C12	4	64	Null	Plate_2	8.672822	6.155293
D12	2	64	Null	Plate_2	10.236501	6.0911922
E6	3	42	WT	Plate_2	9.943391	6.2075186
A12	4	44	Null	Plate_2	12.253458	7.550033
F12	2	51	Null	Plate_2	11.963369	5.830462
D6	4	52	WT	Plate_2	9.848073	7.3088193
C7	1	87	Null	Plate_2	7.1536193	3.7319188
C7	3	87	Null	Plate_2	7.436537	5.1348195
D12	2	64	Null	Plate_2	7.748971	4.021109
C6	2	35	WT	Plate_2	12.630685	7.032428
A1	1	46	WT	Plate_2	8.182292	7.2120924
F7	2	80	Null	Plate_2	6.2026925	3.7818148
A6	2	53	WT	Plate_2	11.970451	6.8695292
E1	3	29	WT	Plate_2	12.620756	4.9114156
E12	1	57	Null	Plate_2	11.293859	4.4664817
A7	3	54	Null	Plate_2	10.550074	4.012621
A7	2	54	Null	Plate_2	8.1761055	4.4616437
H12	3	53	Null	Plate_2	10.4936695	8.076335
B7	2	60	Null	Plate_2	9.512162	4.4310884
C12	3	64	Null	Plate_2	9.771267	3.8988624
B1	4	53	WT	Plate_2	12.8607855	5.2652707
D6	1	52	WT	Plate_2	11.308313	6.631369
D1	1	57	WT	Plate_2	9.873932	7.4891443
A7	1	54	Null	Plate_2	11.095241	7.4047775
G12	4	53	Null	Plate_2	11.555115	7.369891
A12	4	44	Null	Plate_2	12.674385	5.062456
H7	4	59	Null	Plate_2	9.385087	7.697623
E12	3	57	Null	Plate_2	8.260288	5.21088
E1	4	29	WT	Plate_2	10.798778	8.258702
G12	3	53	Null	Plate_2	11.776026	6.809924
B1	3	53	WT	Plate_2	10.789813	5.477509
G7	3	71	Null	Plate_2	7.8685565	7.273028
E7	2	85	Null	Plate_2	8.652094	4.591259
E6	2	42	WT	Plate_2	11.104464	6.9551444
H6	2	28	WT	Plate_2	5.4137583	4.806556
H12	3	53	Null	Plate_2	10.08923	5.167828
D6	2	52	WT	Plate_2	9.651613	5.4433374
C1	1	54	WT	Plate_2	11.703317	7.0713177
E12	2	57	Null	Plate_2	10.041332	5.305638
F7	2	80	Null	Plate_2	5.4808364	4.606449
G12	4	53	Null	Plate_2	10.807441	6.6768475
C7	1	87	Null	Plate_2	9.397673	5.038601
C7	1	87	Null	Plate_2	9.502748	6.8388405
G1	4	58	WT	Plate_2	6.1370516	3.8176985
B6	1	49	WT	Plate_2	9.535402	4.029083
A1	4	46	WT	Plate_2	11.759525	6.342424
B7	3	60	Null	Plate_2	10.42953	4.880091
H7	3	59	Null	Plate_2	8.397275	6.1635423
F12	3	51	Null	Plate_2	12.514286	7.7668924
H1	2	26	WT	Plate_2	10.268571	7.989973
D7	2	79	Null	Plate_2	12.1504965	5.8981514
F12	1	51	Null	Plate_2	9.861586	6.305574
D1	2	57	WT	Plate_2	11.201088	6.3881435
H1	1	26	WT	Plate_2	8.538517	3.9624474
A1	1	46	WT	Plate_2	12.58692	6.5906763
B12	3	49	Null	Plate_2	10.705738	5.0219436
C12	3	64	Null	Plate_2	9.757891	7.8106165
B7	1	60	Null	Plate_2	5.753975	4.295399
G12	2	53	Null	Plate_2	10.711133	4.8777876
C7	1	87	Null	Plate_2	12.547741	5.365307
C7	2	87	Null	Plate_2	5.7427845	4.827824
B7	3	60	Null	Plate_2	11.242417	7.804799
H1	1	26	WT	Plate_2	12.115928	6.8561764
C7	4	87	Null	Plate_2	6.280646	3.6766827
C1	4	54	WT	Plate_2	10.255214	6.941914
G12	1	53	Null	Plate_2	10.2299795	4.8467627
D7	2	79	Null	Plate_2	7.320147	4.89771
G1	2	58	WT	Plate_2	10.976568	7.4215794
B6	2	49	WT	Plate_2	12.279253	6.517157
F7	4	80	Null	Plate_2	11.152028	8.196058
E7	4	85	Null	Plate_2	10.529176	4.9046707
C1	2	54	WT	Plate_2	11.825053	6.6478915
D7	4	79	Null	Plate_2	9.013421	5.096679
H12	4	53	Null	Plate_2	11.333328	8.192991
H7	1	59	Null	Plate_2	8.323639	4.5115376
D6	4	52	WT	Plate_2	11.482306	6.3510265
A7	3	54	Null	Plate_2	13.125072	6.528447
D12	2	64	Null	Plate_2	11.209916	6.092935
F7	1	80	Null	Plate_2	11.033975	4.748175
C1	4	54	WT	Plate_2	10.377055	6.526521
C7	2	87	Null	Plate_2	9.810058	5.546583
D7	3	79	Null	Plate_2	10.23432	3.8692653
C1	1	54	WT	Plate_2	9.92898	6.3734207
D7	3	79	Null	Plate_2	11.273278	6.899949
F1	1	45	WT	Plate_2	12.108606	7.286663
F6	1	45	WT	Plate_2	9.87925	6.6532664
C6	3	35	WT	Plate_2	9.872402	7.3751817
G7	2	71	Null	Plate_2	9.257347	4.4262757
G6	4	32	WT	Plate_2	12.4010935	5.8809114
F7	3	80	Null	Plate_2	11.620123	6.6470757
E7	1	85	Null	Plate_2	9.608987	5.065669
B1	3	53	WT	Plate_2	10.512948	8.049027
G1	2	58	WT	Plate_2	12.556974	6.823053
E7	1	85	Null	Plate_2	10.291607	7.071634
F6	4	45	WT	Plate_2	12.6987915	5.9978127
