Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D4	8	636	WT	Plate_3	8.818437	4.0972385
B10	24	86	Null	Plate_3	9.01261	6.5000405
F12	17	647	Null	Plate_3	8.104309	5.912871
D4	1	636	WT	Plate_3	10.596231	3.488836
E12	14	607	Null	Plate_3	9.566523	3.0415137
F12	7	647	Null	Plate_3	8.686695	4.384814
E11	6	331	Null	Plate_3	10.578157	6.3102055
E12	16	607	Null	Plate_3	12.212507	4.65529
C3	9	346	WT	Plate_3	7.6827245	5.594783
C12	4	570	Null	Plate_3	8.719724	4.8438444
C11	7	281	Null	Plate_3	11.54968	3.4736457
F4	18	438	WT	Plate_3	8.953345	2.714217
C3	7	346	WT	Plate_3	10.47708	6.8295035
F4	13	438	WT	Plate_3	11.916558	4.129764
E11	19	331	Null	Plate_3	6.8923583	7.586299
G12	4	481	Null	Plate_3	8.84557	4.727743
F12	2	647	Null	Plate_3	9.9337	2.1321106
D12	25	623	Null	Plate_3	6.9675775	0.785112
B4	17	559	WT	Plate_3	11.831397	4.987554
D3	13	305	WT	Plate_3	11.596592	4.6014547
B4	21	559	WT	Plate_3	9.231511	5.2983522
D4	6	636	WT	Plate_3	8.650686	3.6107023
G9	2	58	Null	Plate_3	8.17715	5.840052
C4	10	666	WT	Plate_3	10.077282	2.9668164
C4	21	666	WT	Plate_3	8.0956745	1.6017495
B4	2	559	WT	Plate_3	8.411363	6.5391474
D12	21	623	Null	Plate_3	8.792327	3.9577968
C3	19	346	WT	Plate_3	10.664153	4.7478666
G4	2	386	WT	Plate_3	10.948595	5.683972
B4	19	559	WT	Plate_3	10.215807	4.1938496
F4	9	438	WT	Plate_3	10.130635	7.533343
F12	17	647	Null	Plate_3	8.809025	3.6422474
C2	1	175	WT	Plate_3	5.951223	7.131049
D3	19	305	WT	Plate_3	11.736164	4.1982346
F4	4	438	WT	Plate_3	9.577575	4.1119523
C11	1	281	Null	Plate_3	11.397403	3.0975494
E3	8	168	WT	Plate_3	10.836612	5.7228813
B2	7	139	WT	Plate_3	12.449941	5.3865557
C4	18	666	WT	Plate_3	9.7171	4.713392
B4	22	559	WT	Plate_3	11.227048	6.088839
E10	1	118	Null	Plate_3	10.027896	6.7279744
E10	8	118	Null	Plate_3	9.781343	4.453764
F10	5	150	Null	Plate_3	9.699023	5.7808805
G4	14	386	WT	Plate_3	10.256852	6.4619265
D12	9	623	Null	Plate_3	11.257847	2.5697708
B3	20	297	WT	Plate_3	11.431564	3.9838119
C4	2	666	WT	Plate_3	8.338259	4.1842885
D2	20	152	WT	Plate_3	10.998067	4.1342545
D9	2	51	Null	Plate_3	8.894827	8.137875
D4	14	636	WT	Plate_3	7.7851534	3.9740565
B12	18	531	Null	Plate_3	9.333274	4.85539
D12	13	623	Null	Plate_3	7.014265	6.8026495
D12	11	623	Null	Plate_3	7.629409	5.88968
D11	14	216	Null	Plate_3	8.74424	7.168639
B4	16	559	WT	Plate_3	12.067774	5.8866043
E12	6	607	Null	Plate_3	9.511403	2.714028
E12	8	607	Null	Plate_3	8.261249	3.2614932
B4	8	559	WT	Plate_3	7.0361533	5.2932615
D4	21	636	WT	Plate_3	10.566968	3.6140113
B11	25	279	Null	Plate_3	10.543223	2.7770863
B12	8	531	Null	Plate_3	7.663986	5.105704
C12	22	570	Null	Plate_3	9.275307	4.082263
E12	2	607	Null	Plate_3	8.276933	5.5984755
D4	6	636	WT	Plate_3	8.4334545	3.3371096
B12	11	531	Null	Plate_3	9.985672	3.7617636
D4	15	636	WT	Plate_3	10.849498	5.559279
E11	22	331	Null	Plate_3	8.225279	4.836287
D12	24	623	Null	Plate_3	9.307887	4.835442
F12	10	647	Null	Plate_3	9.674896	1.0434179
C12	24	570	Null	Plate_3	8.506956	2.034379
F12	17	647	Null	Plate_3	7.3966312	2.3910866
B4	21	559	WT	Plate_3	11.344157	4.1049
C3	3	346	WT	Plate_3	9.106804	1.9903175
D1	8	38	WT	Plate_3	11.245832	-0.20534271
F4	24	438	WT	Plate_3	9.131989	4.3214197
F11	2	329	Null	Plate_3	9.19304	5.549671
G12	18	481	Null	Plate_3	10.541399	2.2045662
D12	4	623	Null	Plate_3	9.201683	2.009543
C12	14	570	Null	Plate_3	7.9805017	3.7576466
F12	2	647	Null	Plate_3	10.020961	4.3136053
B4	18	559	WT	Plate_3	8.227009	5.136242
C4	12	666	WT	Plate_3	11.206198	5.6371017
G11	4	250	Null	Plate_3	10.68198	6.121363
