Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
E2	15	102	WT	16.025816	-0.44759765
B7	20	78	HET	15.682896	-2.1499932
G7	16	94	HET	11.923161	0.18912366
C9	17	156	Null	14.50686	2.7219348
B10	19	155	Null	13.815634	2.6808102
F9	16	149	Null	14.1894045	1.9872305
D3	7	128	WT	16.403013	-1.414829
F3	2	92	WT	15.965888	-1.983248
C12	7	119	Null	13.414895	1.9131994
E2	13	102	WT	16.863329	0.1987953
G4	21	100	WT	15.455405	-2.2600706
G1	15	72	WT	16.241676	-2.7263784
B9	19	173	Null	13.298332	-0.89664525
G6	15	79	HET	14.440595	-2.8856153
G1	6	72	WT	14.969664	-1.6289728
C5	3	78	HET	17.234795	-1.5545605
G12	1	121	Null	15.318691	-1.3453428
E9	20	120	Null	15.163157	0.3089652
E8	12	59	HET	14.692777	0.95195
E4	10	86	WT	14.672481	1.3392447
E1	9	101	WT	15.98041	1.2871641
F9	17	149	Null	17.414162	1.7396181
G5	1	61	HET	17.155071	-0.25212273
E9	3	120	Null	14.902443	-0.56630117
C9	7	156	Null	15.444048	2.6902802
B9	18	173	Null	15.231564	3.1540713
C4	1	104	WT	15.630774	-1.0703044
B2	14	97	WT	15.165662	-2.9517124
B9	14	173	Null	12.593979	-1.028862
D4	16	102	WT	15.890096	-1.8037527
E3	3	122	WT	12.082093	-1.1639779
B8	15	64	HET	16.57508	0.9277727
B9	19	173	Null	11.431468	-1.4323475
E7	8	103	HET	13.7593975	2.681015
G10	19	129	Null	12.9422245	-0.9154766
B11	21	148	Null	16.90683	-2.2422886
G4	4	100	WT	13.8618965	2.4514558
C11	10	154	Null	15.849324	0.8088111
E12	3	115	Null	15.473357	-0.77648443
C4	8	104	WT	15.219562	2.4495335
D7	11	83	HET	16.420532	0.17229624
D1	21	91	WT	17.464817	1.4537551
C3	5	117	WT	14.374536	-2.8639789
B8	17	64	HET	17.59489	0.790484
G4	12	100	WT	15.429077	-1.231012
E11	20	185	Null	14.343235	2.2852697
G8	15	65	HET	16.882618	2.1688013
D12	1	106	Null	13.885148	-1.393629
E6	12	66	HET	14.596094	-1.8575886
G2	17	125	WT	16.197248	-1.5850239
D10	16	157	Null	14.6012945	-1.5302345
E12	2	115	Null	17.019949	0.32220346
D11	5	178	Null	15.465412	-0.7817329
F12	16	125	Null	15.529569	2.3168025
D8	8	87	HET	14.204043	1.0487257
E5	7	89	HET	12.378104	0.24540801
C8	4	85	HET	16.232813	-1.0945657
B9	21	173	Null	16.602188	1.656386
E4	18	86	WT	15.47293	2.4966514
C4	9	104	WT	17.028214	-2.1257772
F5	17	109	HET	12.262401	0.32927844
E5	6	89	HET	15.454918	2.0576687
B7	1	78	HET	16.26209	-0.087631665
D1	8	91	WT	16.21688	2.4445522
F5	13	109	HET	13.772755	-1.1749907
C3	16	117	WT	15.210073	-1.5253878
F10	8	152	Null	16.559824	1.2853681
F8	15	63	HET	16.929504	-1.3821115
F1	15	88	WT	16.54493	1.3719827
E11	4	185	Null	17.45069	-1.2809043
B3	18	79	WT	17.070145	-0.20053679
F2	20	111	WT	17.616423	-0.6219086
G10	3	129	Null	14.3240185	-2.9688842
B9	4	173	Null	16.11882	-0.56797713
G11	3	129	Null	14.7273035	-2.673967
F4	18	94	WT	14.857996	-1.6858104
F6	2	82	HET	16.354443	1.6108092
C8	4	85	HET	16.03426	-2.6347234
B3	21	79	WT	13.778155	1.2020996
C7	16	100	HET	16.734175	2.0928607
F2	10	111	WT	15.019647	2.7440188
F11	20	135	Null	14.84855	2.822865
C9	1	156	Null	11.483081	-0.7749616
E2	2	102	WT	14.849474	2.5140593
D12	3	106	Null	12.258161	-1.4641665
G12	6	121	Null	13.571796	1.3810667
F2	1	111	WT	15.916617	-0.84722275
F5	4	109	HET	12.475039	1.2072384
E12	10	115	Null	13.775815	-2.4415083
E8	20	59	HET	15.165372	0.7159166
G7	5	94	HET	12.807282	-0.2556776
F7	7	90	HET	12.008292	0.92004645
E6	10	66	HET	14.359628	1.4244524
B10	11	155	Null	17.276907	-0.4016261
G11	7	129	Null	14.337574	1.411031
F2	3	111	WT	15.741104	-0.79704076
E1	15	101	WT	16.726688	1.9942353
D8	4	87	HET	15.03427	-2.8564794
F9	18	149	Null	13.742053	-0.9781039
D10	4	157	Null	15.433503	2.221725
D1	7	91	WT	17.158268	0.117967054
D6	2	76	HET	15.870812	1.5722542
B12	8	148	Null	17.160322	1.3220237
E9	8	120	Null	15.02562	-2.0691533
E10	16	132	Null	13.513005	-0.79734695
C12	9	119	Null	17.571558	0.2843187
F8	1	63	HET	14.500009	1.4721831
B4	14	112	WT	14.838965	-1.9036491
B4	4	112	WT	13.720418	2.249973
E10	14	132	Null	15.207762	1.1068952
C8	1	85	HET	11.056927	-1.5950915
F9	9	149	Null	15.205179	-0.039421946
C2	11	137	WT	12.997986	1.5780299
G9	19	149	Null	15.681423	-2.0809703
G9	7	149	Null	14.023174	0.38946736
B9	19	173	Null	16.246069	0.86272794
C10	17	125	Null	16.341005	-1.3679596
E4	5	86	WT	16.032118	0.97699356
E11	18	185	Null	15.717062	1.9020988
D11	10	178	Null	15.376129	1.0865906
E7	8	103	HET	15.334916	-2.5792215
B10	8	155	Null	17.033987	-2.285737
B7	2	78	HET	14.827492	-0.04395724
G11	4	129	Null	14.968109	0.709102
E4	8	86	WT	15.875624	-0.1680795
D8	21	87	HET	14.094014	0.13845444
F5	3	109	HET	15.698731	-2.3367984
G4	8	100	WT	16.472456	1.5860671
C8	8	85	HET	15.418724	-2.4982104
D11	15	178	Null	15.002821	-0.38111442
C11	2	154	Null	15.3753195	-0.15977591
C9	3	156	Null	16.346193	0.19270554
B7	16	78	HET	16.427488	-1.2164124
B6	16	99	HET	17.093914	-1.0564846
D11	3	178	Null	15.259852	-2.3030062
F3	2	92	WT	13.860722	-2.6285834
B2	6	97	WT	13.145865	0.030611193
E12	4	115	Null	15.766046	-0.34661958
G1	16	72	WT	16.017681	0.87720394
B6	6	99	HET	17.484724	0.06572849
G8	9	65	HET	14.797974	-0.011886302
F2	4	111	WT	11.54567	1.1703519
B6	4	99	HET	16.208448	2.2679527
B12	4	148	Null	16.45983	-1.999354
C8	3	85	HET	16.693588	-0.5537268
G9	3	149	Null	16.67618	-0.54814965
B1	9	79	WT	14.176317	-1.2562664
D9	15	135	Null	16.621235	-1.5515386
C11	9	154	Null	16.33261	-1.9652779
F1	13	88	WT	17.655273	1.3985466
B1	7	79	WT	15.499853	1.8479863
C9	6	156	Null	14.979085	-1.5040668
E12	7	115	Null	14.6868305	0.4104617
D2	18	98	WT	15.8531065	-0.101142526
C2	1	137	WT	16.497206	2.2368727
E1	21	101	WT	14.875297	-2.938397
G3	1	121	WT	14.364987	1.8155676
C5	5	78	HET	15.395245	-2.9886222
D10	20	157	Null	13.268202	0.70545447
C3	6	117	WT	16.952274	-2.0990481
D11	21	178	Null	16.20194	-2.016986
C12	5	119	Null	17.672638	0.8671364
D5	12	99	HET	16.4232	1.279167
C2	15	137	WT	11.952815	-0.72562206
D5	4	99	HET	13.588609	2.579429
G12	4	121	Null	14.127331	0.55248284
C4	21	104	WT	14.6779175	-2.4407454
G2	10	125	WT	13.54876	1.6124638
B3	19	79	WT	15.945743	-0.109178655
B4	21	112	WT	16.24879	-0.0047940663
B8	19	64	HET	14.73836	1.4050314
E12	20	115	Null	14.97317	-2.419956
G12	4	121	Null	16.709826	-1.993843
G5	18	61	HET	16.75821	1.1355796
E3	1	122	WT	12.993245	1.6619195
C4	20	104	WT	15.031166	1.2655656
E9	18	120	Null	15.077355	1.5454017
G7	7	94	HET	14.598757	-3.0804393
F12	15	125	Null	14.568193	2.651591
B2	9	97	WT	11.387781	-0.92448926
D12	18	106	Null	16.555475	-2.0834074
B1	11	79	WT	15.353723	-0.021558113
C9	4	156	Null	14.430433	1.166745
B6	21	99	HET	15.185285	-0.77936006
C11	9	154	Null	15.035255	-1.993835
C9	7	156	Null	14.214407	0.17439915
F12	6	125	Null	15.79266	2.102304
B5	1	101	HET	15.977628	2.4134004
E7	1	103	HET	14.321779	-1.1838856
G10	7	129	Null	13.812021	-0.49523714
D12	5	106	Null	15.669984	-1.3411282
D5	2	99	HET	15.949622	-0.25567055
D3	2	128	WT	14.92488	-1.6982912
