Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
D5	7	99	HET	14.524671	-2.5422387
G12	9	121	Null	15.100288	2.7147312
E12	8	115	Null	15.040654	-1.186599
D6	13	76	HET	14.194603	-2.640928
E4	17	86	WT	12.24092	1.4749749
E9	8	120	Null	15.846634	-0.89755464
F12	7	125	Null	12.060333	1.282765
F6	7	82	HET	13.557783	2.0430863
D3	2	128	WT	14.03666	2.3165371
D4	13	102	WT	11.2035055	-1.436935
F7	19	90	HET	11.738387	-0.35428953
G2	17	125	WT	15.137102	0.23874307
F11	2	135	Null	14.386563	-0.7556583
D1	19	91	WT	12.294806	-1.0962217
C11	10	154	Null	15.705326	0.033043876
C2	21	137	WT	17.45897	-1.4084264
C7	9	100	HET	16.280954	-1.3759491
B11	5	148	Null	17.042624	0.86868954
F2	19	111	WT	16.88801	-1.3947233
D9	9	135	Null	14.054158	0.35998777
F12	19	125	Null	14.568465	2.8495443
D11	3	178	Null	15.858172	-0.788036
C7	11	100	HET	17.381855	-1.6981629
B10	5	155	Null	16.393982	-0.57490546
E11	21	185	Null	13.544422	0.64727646
D4	13	102	WT	13.710103	-2.1543179
F6	20	82	HET	13.35233	0.57480526
G7	4	94	HET	14.041541	-2.7405372
C8	11	85	HET	15.126049	-3.2433555
D5	6	99	HET	16.543653	-0.71487373
E3	21	122	WT	15.230565	2.134725
C4	4	104	WT	17.102823	-1.8507774
C2	6	137	WT	17.151632	-0.92307097
B1	1	79	WT	13.507011	2.2021315
E1	5	101	WT	13.83812	-1.6917787
B2	13	97	WT	11.121383	-1.0073458
F6	2	82	HET	16.200172	-1.057869
C10	5	125	Null	14.847958	3.0374687
D4	6	102	WT	17.319513	1.617938
G9	18	149	Null	16.15429	2.6259687
E11	9	185	Null	16.310612	-1.6520032
C6	4	71	HET	15.217906	0.859433
G2	20	125	WT	14.407864	0.4140286
D6	18	76	HET	14.860266	1.2616545
D4	3	102	WT	17.42845	1.812616
G11	11	129	Null	15.988612	-2.3372314
G8	13	65	HET	13.748739	0.20653176
G2	18	125	WT	15.982047	-0.58222806
G4	20	100	WT	12.854884	-0.46970508
D5	13	99	HET	12.225358	0.46634224
C9	20	156	Null	16.072838	1.1771169
B9	6	173	Null	17.536062	-0.9345488
D10	20	157	Null	15.653011	0.14397639
C8	15	85	HET	14.698107	0.20424831
D7	11	83	HET	17.198778	1.7348192
G10	2	129	Null	12.709725	-0.32666764
D10	20	157	Null	14.477202	-0.46346128
B9	7	173	Null	16.847948	-1.1996682
F5	10	109	HET	14.513229	1.3467646
B12	19	148	Null	14.536492	-1.9520314
G11	7	129	Null	17.219412	-0.9354605
B5	17	101	HET	14.87284	-0.99498534
D11	10	178	Null	16.43527	-0.7799363
B11	4	148	Null	17.406078	0.06894735
F8	6	63	HET	14.796477	-0.4870152
F12	13	125	Null	15.653996	-2.1872466
E11	20	185	Null	13.226594	-1.4949107
C9	12	156	Null	15.292803	-0.49004343
E3	19	122	WT	15.825353	1.0622845
B2	15	97	WT	15.909738	-2.3203855
G7	12	94	HET	14.425216	-0.55344415
C2	9	137	WT	16.096327	-1.65966
D12	16	106	Null	14.614747	-1.5391778
F4	20	94	WT	15.74961	1.729297
E3	9	122	WT	17.295078	1.9454321
G6	15	79	HET	15.093942	-0.7355855
E11	13	185	Null	13.478634	0.37127087
F2	3	111	WT	16.853893	2.0376701
C11	9	154	Null	16.502003	1.1800708
B10	19	155	Null	17.239424	1.1519293
E1	9	101	WT	13.410558	0.2960707
C7	9	100	HET	17.613306	0.92884344
C2	2	137	WT	14.728906	-0.116069056
B6	17	99	HET	17.85708	0.4608694
C11	12	154	Null	16.696716	1.3411818
C9	21	156	Null	16.49777	-1.7882563
C8	14	85	HET	13.539653	-2.06352
G2	20	125	WT	16.472769	-1.4721806
F3	8	92	WT	14.829381	-2.0932074
D9	3	135	Null	15.0640335	-2.2688255
E11	5	185	Null	14.754569	1.2518948
B1	5	79	WT	15.818414	-2.9120955
G3	15	121	WT	11.121702	-1.5682298
B12	15	148	Null	11.085084	-1.4838756
E2	6	102	WT	17.018665	2.0257351
F3	7	92	WT	14.981716	-1.6897972
C10	16	125	Null	15.898291	-2.2520978
G5	20	61	HET	13.538887	0.35133246
F1	11	88	WT	16.37822	2.3074307
C9	8	156	Null	16.394236	-1.6269286
G3	19	121	WT	15.39494	2.5769958
C7	9	100	HET	17.64648	0.59639263
B7	3	78	HET	17.715357	-0.24026418
F9	5	149	Null	15.309538	2.185048
C12	16	119	Null	13.043084	-0.011353354
C6	12	71	HET	14.741324	0.872562
D12	11	106	Null	13.604097	0.7853884
B9	10	173	Null	16.38183	0.49519503
B10	19	155	Null	14.376411	2.1508012
D11	18	178	Null	14.756014	-0.61684597
D6	1	76	HET	11.981035	-0.19564772
E10	13	132	Null	12.008471	0.8295461
B9	9	173	Null	16.88935	1.1598543
D4	14	102	WT	14.710123	-1.2319963
E11	7	185	Null	13.750084	-2.621373
E10	4	132	Null	14.560288	-0.7701135
E4	17	86	WT	14.233995	0.1914112
E2	11	102	WT	12.757426	-0.9123172
B9	13	173	Null	15.286502	1.3704234
D1	3	91	WT	13.624131	-1.1671011
F8	2	63	HET	13.126519	0.50148064
D10	19	157	Null	15.01817	-3.139779
G10	14	129	Null	13.876267	2.4715016
B5	6	101	HET	16.842175	-0.086517155
E4	17	86	WT	13.979923	1.2771891
C3	13	117	WT	14.831948	-1.9363211
C3	9	117	WT	16.940456	-1.8914098
B12	4	148	Null	16.847422	-2.3944726
F5	15	109	HET	16.267525	2.3299325
C1	19	66	WT	16.069351	2.3007324
B5	17	101	HET	14.214004	1.2477823
B9	14	173	Null	11.155864	-1.1316978
D4	5	102	WT	15.821805	-2.1014006
C11	1	154	Null	16.802738	0.14058922
E6	1	66	HET	11.501719	-0.8593859
F9	15	149	Null	14.957662	-0.6099827
B8	11	64	HET	16.792011	-2.2112906
D3	11	128	WT	16.164774	-0.53019285
G12	5	121	Null	16.16312	-1.1312909
C4	2	104	WT	17.727566	0.109524064
B2	16	97	WT	13.071194	-1.6923664
F2	8	111	WT	17.549017	-0.8221133
C3	17	117	WT	13.099363	-0.11659701
G7	10	94	HET	16.44615	-0.4086044
D11	9	178	Null	15.249854	0.569962
F4	11	94	WT	14.460325	0.46259892
B12	8	148	Null	17.718012	-0.10941221
D9	7	135	Null	15.990245	0.3773234
E1	13	101	WT	15.897146	-2.5066738
E2	2	102	WT	16.311914	2.6051538
C3	6	117	WT	15.971309	-2.2331216
E11	16	185	Null	13.868613	1.934187
D11	8	178	Null	14.522734	0.2870321
C9	20	156	Null	16.268166	0.23108017
E2	14	102	WT	12.988937	-1.2746804
D7	4	83	HET	17.442957	-1.0853212
F7	12	90	HET	14.377586	0.11126547
F12	18	125	Null	15.374803	0.34146696
E3	1	122	WT	16.454065	0.9557703
E2	2	102	WT	16.477774	-1.8503584
C1	11	66	WT	17.05752	2.0843532
D1	1	91	WT	16.200657	2.346574
F10	19	152	Null	14.017784	2.6110497
B12	8	148	Null	16.826727	0.9264654
E3	1	122	WT	12.679295	-0.6311148
G7	8	94	HET	13.7846	-0.2731934
B11	1	148	Null	15.706394	0.19992621
C4	17	104	WT	15.515534	1.2371818
F4	3	94	WT	16.777803	1.3074119
C2	14	137	WT	15.943222	1.1649941
F12	17	125	Null	16.873138	-0.041140053
C12	19	119	Null	14.874682	2.108464
B11	12	148	Null	15.555613	2.0808191
E9	3	120	Null	15.785621	-1.4710637
B7	9	78	HET	14.127214	0.552546
B10	21	155	Null	15.681568	2.7187085
F9	13	149	Null	15.418122	-0.71328896
E8	17	59	HET	14.34284	-2.2104368
E7	13	103	HET	13.6547165	1.9164051
C4	20	104	WT	17.64758	-0.11179215
B2	16	97	WT	13.369692	-0.34119943
F2	5	111	WT	17.65066	1.0991508
B12	5	148	Null	17.782578	-0.5859187
C12	5	119	Null	16.39202	-1.2486572
E10	13	132	Null	15.002065	-2.9427822
G6	3	79	HET	15.201459	-2.0578039
F7	1	90	HET	14.383281	-2.120576
B1	4	79	WT	14.875697	-0.8624618
C11	1	154	Null	14.501732	0.52335465
B4	4	112	WT	13.931328	1.8670572
G11	1	129	Null	15.281446	-2.8219252
D6	2	76	HET	17.414963	1.2861001
F4	4	94	WT	14.42531	1.7923343
C12	14	119	Null	16.437176	1.6872418
B2	1	97	WT	15.506197	2.202809
C12	1	119	Null	16.585947	1.6335121
F3	15	92	WT	15.525992	0.05742105
D12	16	106	Null	14.7589445	-0.99501896
D6	8	76	HET	16.060204	-2.799036
E3	7	122	WT	17.01995	0.26540226
D7	10	83	HET	13.294311	0.8943343
B4	3	112	WT	14.628146	-3.0450757
G11	11	129	Null	15.652855	-2.7877996
D3	9	128	WT	15.620263	-0.6479709
E12	16	115	Null	16.764475	1.0738477
D3	12	128	WT	17.446924	1.6322932
G10	4	129	Null	14.567486	2.7361643
F4	21	94	WT	14.989632	0.047372486
D12	17	106	Null	14.202605	-0.36244848
F1	4	88	WT	15.977532	-0.19256891
C2	7	137	WT	12.3057165	1.2102896
C5	17	78	HET	16.534048	-0.062400308
C9	1	156	Null	17.278013	0.70790964
G7	21	94	HET	14.151974	-1.6385499
E10	15	132	Null	15.389954	1.8952855
F4	7	94	WT	13.598128	1.2991762
D3	8	128	WT	16.574	-2.7542067
E11	10	185	Null	16.273056	2.7554386
B8	19	64	HET	16.766102	-0.06217417
F3	13	92	WT	17.466656	-1.9417173
B11	13	148	Null	16.29508	1.7186089
B5	19	101	HET	14.9074	-0.18585438
B11	1	148	Null	14.936917	2.470826
B10	17	155	Null	15.092011	0.29585394
F12	20	125	Null	12.9874115	1.4671812
C2	8	137	WT	16.231375	-1.9666682
G12	7	121	Null	15.304725	0.37938005
F7	4	90	HET	16.620605	-0.21022369
B7	20	78	HET	17.401974	-1.269791
G9	3	149	Null	15.157228	-0.68764925
F9	13	149	Null	15.358797	2.0201025
E11	13	185	Null	14.505962	-0.45689598
G2	3	125	WT	14.641983	-1.3685424
B10	17	155	Null	13.096139	-1.1268429
E12	6	115	Null	17.14889	0.07104808
F3	1	92	WT	14.480251	-1.1527008
B10	18	155	Null	14.685833	0.51976424
E4	13	86	WT	12.706182	1.3127085
G3	18	121	WT	17.170826	2.2830114
B7	11	78	HET	15.397394	-2.5279758
F11	13	135	Null	11.631945	1.1692158
D12	16	106	Null	16.161709	-2.3741426
F10	15	152	Null	15.74331	0.62758905
C8	18	85	HET	13.984973	-2.7403092
D5	13	99	HET	14.411699	0.23030615
B4	19	112	WT	17.171316	0.9844145
B9	18	173	Null	12.654274	-1.1688292
F8	8	63	HET	16.7436	-1.3567417
B12	5	148	Null	17.483238	0.38448092
B10	8	155	Null	12.277651	-1.1091455
E10	8	132	Null	12.464208	-0.40011758
C10	11	125	Null	14.039819	-0.0638748
E1	11	101	WT	15.292318	-2.371342
G3	16	121	WT	11.607419	1.15895
E9	18	120	Null	15.804941	-1.1236241
C9	5	156	Null	14.3259115	-2.0124624
E10	21	132	Null	16.971947	-0.45183697
F4	14	94	WT	14.745529	1.2191844
F8	11	63	HET	14.294686	-2.1146593
G9	20	149	Null	14.536067	0.7213585
B10	8	155	Null	16.166136	-1.7305379
C12	14	119	Null	16.708256	-1.9664934
D3	18	128	WT	15.382041	-0.5196169
C1	18	66	WT	14.362394	2.1312082
D11	6	178	Null	17.200161	-0.45657817
E8	3	59	HET	13.977884	-0.120893575
E10	3	132	Null	15.791961	-2.9215436
D1	1	91	WT	16.377474	2.309125
E5	16	89	HET	15.122853	2.7956212
B7	19	78	HET	14.237582	1.6063958
D1	13	91	WT	16.937346	-2.2444122
B10	12	155	Null	14.152364	-1.6236393
G10	7	129	Null	14.405688	-1.2092041
D4	9	102	WT	16.668348	1.6780787
G9	10	149	Null	13.519425	2.6423976
E10	15	132	Null	14.4516535	-1.476401
F2	8	111	WT	17.282497	1.804807
D1	10	91	WT	17.142263	1.4616867
E2	20	102	WT	17.123352	2.0092783
G10	4	129	Null	14.206483	1.7751436
E5	18	89	HET	14.437726	2.804394
D3	15	128	WT	17.059015	1.9827766
B1	4	79	WT	16.104513	1.1952113
G11	3	129	Null	13.457226	-1.7945676
E12	9	115	Null	15.767767	-2.4329507
E11	13	185	Null	14.148536	-2.6192434
D8	7	87	HET	14.655889	1.2779734
G9	5	149	Null	15.709441	-0.87877315
F2	20	111	WT	16.421442	2.1029754
G6	12	79	HET	13.913787	-2.4421527
G10	18	129	Null	14.149601	0.20355867
F10	16	152	Null	14.74976	3.0087276
B8	16	64	HET	14.167994	0.046548076
F4	6	94	WT	14.665472	1.60731
D9	11	135	Null	17.216547	-1.1350942
D2	17	98	WT	16.942242	-0.29776677
B5	2	101	HET	17.108965	1.3736573
D3	3	128	WT	17.201881	-1.5629318
B4	3	112	WT	15.042644	-2.5547116
D1	13	91	WT	12.510591	0.6692852
B3	1	79	WT	14.723177	0.39586294
G8	9	65	HET	12.312138	-0.17467928
D1	11	91	WT	17.44845	1.1284152
F10	14	152	Null	12.412718	-0.8622342
B4	20	112	WT	11.079082	-1.5674009
F5	12	109	HET	15.065175	0.19020337
D10	2	157	Null	15.876388	1.9288659
E11	10	185	Null	12.632891	-1.0736198
G8	10	65	HET	14.283978	0.21217044
C9	4	156	Null	16.006584	-0.8154968
E12	2	115	Null	17.05517	1.8873317
G3	10	121	WT	14.95309	2.2446158
B10	14	155	Null	16.012484	-1.9600565
D4	15	102	WT	16.005344	1.4500747
G5	9	61	HET	14.375033	-2.3136888
G12	7	121	Null	14.418588	2.8342714
G9	1	149	Null	16.708607	-1.5190227
F9	20	149	Null	14.830098	2.4831755
B10	2	155	Null	14.701009	0.5031334
C3	19	117	WT	13.341326	-0.9883283
E12	12	115	Null	15.48859	-0.8865863
D5	21	99	HET	15.473054	0.6282196
F10	10	152	Null	14.589807	-0.30276248
B10	18	155	Null	17.344372	-1.8098756
D4	6	102	WT	11.479047	-1.0416981
B2	1	97	WT	14.864318	1.8196809
G7	16	94	HET	15.441904	1.4811233
C3	10	117	WT	14.0512295	1.290467
C4	4	104	WT	13.33343	1.3283478
C3	11	117	WT	15.150147	1.2044793
B1	3	79	WT	17.463013	-0.42096257
B6	11	99	HET	15.105724	-1.6260606
E12	4	115	Null	16.853073	1.0059942
B1	6	79	WT	16.459822	1.9825405
G1	4	72	WT	16.700445	2.4656637
D1	16	91	WT	15.396056	2.3488863
D5	9	99	HET	15.720563	0.35330847
C2	17	137	WT	15.720319	0.5243633
F7	2	90	HET	11.715213	1.0198927
G9	1	149	Null	16.004414	-2.5953736
E11	6	185	Null	15.691057	-0.7455586
G8	3	65	HET	15.4691105	-1.1005809
E2	13	102	WT	13.609519	1.6813922
E1	4	101	WT	16.694136	1.4426392
D4	15	102	WT	15.377555	-0.22499841
B2	5	97	WT	15.252525	-3.0031602
F9	6	149	Null	17.233494	-0.8613737
F2	7	111	WT	11.086123	-1.666638
G7	19	94	HET	14.363559	-0.48805282
F2	1	111	WT	14.348235	0.8145409
C10	1	125	Null	16.115164	2.6422522
E10	1	132	Null	14.322948	0.9828573
E9	19	120	Null	13.863226	1.2105534
C3	3	117	WT	16.291237	0.13323393
D2	10	98	WT	15.91252	0.13532828
F4	8	94	WT	12.002235	-0.66729903
G8	15	65	HET	13.59107	1.5927688
C6	4	71	HET	16.77719	-2.261348
C10	6	125	Null	15.441646	1.4390513
E8	15	59	HET	15.808312	-0.81961185
C10	20	125	Null	14.343344	-1.211602
F4	20	94	WT	14.517644	-0.6351745
D1	16	91	WT	16.926043	1.9894482
C10	14	125	Null	14.467241	1.1756005
F8	9	63	HET	15.378505	1.1419482
E10	15	132	Null	14.959367	0.757672
B7	16	78	HET	15.704221	1.1278338
D5	19	99	HET	13.310451	-2.1409767
F10	17	152	Null	16.723381	2.1167123
C5	13	78	HET	11.24651	-0.9112876
D1	20	91	WT	17.345367	0.92803234
F9	10	149	Null	16.30769	-0.9262919
D2	5	98	WT	15.974969	-2.252975
D2	11	98	WT	11.017828	-1.5276543
E1	1	101	WT	16.336643	1.0580798
E9	6	120	Null	15.856024	0.1268071
C9	12	156	Null	16.029879	-1.0486928
E9	5	120	Null	14.973757	0.050608505
C11	12	154	Null	16.269352	2.6085236
G8	9	65	HET	14.89837	-1.4100127
E9	18	120	Null	14.569719	0.6032392
F11	21	135	Null	14.237084	0.8351781
D1	18	91	WT	14.496282	2.0021508
F2	8	111	WT	14.910227	1.6634202
E1	11	101	WT	17.356514	-0.28048217
D11	6	178	Null	16.601305	-2.1759138
D10	9	157	Null	14.282621	-1.3215784
C5	3	78	HET	17.72167	1.1748613
B12	2	148	Null	14.667861	-2.497361
F10	9	152	Null	17.004183	0.61679775
E11	19	185	Null	11.745429	1.2161186
G2	2	125	WT	14.79024	-1.9686513
B2	9	97	WT	11.38113	-1.2889451
C2	11	137	WT	12.258266	-0.7940592
B1	21	79	WT	14.845594	1.215742
D9	9	135	Null	15.345418	-2.2377696
C8	19	85	HET	13.686174	2.8350391
E10	3	132	Null	15.705653	-0.43972403
G12	5	121	Null	16.525126	0.8989504
C7	10	100	HET	16.130234	0.6547109
C11	9	154	Null	15.485939	-0.93399626
B4	8	112	WT	17.112644	-0.666279
C8	17	85	HET	12.530778	-0.93213487
B4	5	112	WT	17.752497	0.36405817
D11	5	178	Null	16.258692	2.194744
B9	19	173	Null	15.453951	0.2621359
C11	12	154	Null	14.018954	2.6952684
F4	11	94	WT	11.861899	-0.47165897
E11	2	185	Null	15.765405	-0.8386811
D5	6	99	HET	16.992392	0.71368176
D10	7	157	Null	14.320086	-1.4392909
G2	7	125	WT	16.45593	-0.25356454
C5	13	78	HET	12.424485	0.41367206
F11	16	135	Null	12.610763	-0.91385585
E10	9	132	Null	15.119129	-2.272464
B2	8	97	WT	16.821573	-1.1361126
G7	7	94	HET	12.283169	0.7645363
G7	19	94	HET	15.696286	1.874448
D1	7	91	WT	17.058165	1.4269139
E9	6	120	Null	15.955966	0.9486627
D1	5	91	WT	15.348571	-2.1250668
E9	18	120	Null	14.5575485	-0.08727391
G10	9	129	Null	15.147637	2.0538423
C6	20	71	HET	13.930025	-0.6905429
G1	10	72	WT	17.325443	-1.7719613
C10	7	125	Null	15.99559	-0.8042597
E8	1	59	HET	13.159515	-0.039154556
E1	15	101	WT	13.046633	-0.536526
E1	14	101	WT	16.361603	-2.7680645
F1	21	88	WT	14.38804	1.1819628
G10	20	129	Null	13.752172	0.30473366
D10	15	157	Null	15.619504	-1.2000563
C4	10	104	WT	16.532906	0.3901483
G5	17	61	HET	15.477599	0.42333844
F1	8	88	WT	15.018118	2.684672
F6	6	82	HET	16.743662	1.7149765
F2	10	111	WT	15.414823	-2.539466
E3	3	122	WT	16.93254	-0.853957
G1	2	72	WT	17.678293	-0.55250126
F9	7	149	Null	13.94708	0.027585983
G3	18	121	WT	15.26695	1.9791131
E5	2	89	HET	16.204966	0.15128255
D6	8	76	HET	14.268263	-1.7591971
F8	21	63	HET	14.779353	-1.8223206
D9	14	135	Null	11.886327	-1.3863591
E1	18	101	WT	16.809196	0.774636
G9	16	149	Null	12.908434	1.2771626
D8	4	87	HET	12.175912	-0.56274974
G1	15	72	WT	16.490725	-1.6292255
E11	13	185	Null	11.883346	0.846972
E3	1	122	WT	17.305407	-0.6473224
D9	15	135	Null	14.305548	-1.5743505
D7	16	83	HET	12.999756	-0.43099543
F4	6	94	WT	14.691909	-2.3757224
B1	1	79	WT	13.375446	1.3582475
G2	10	125	WT	16.286829	2.279846
F12	16	125	Null	16.773561	1.4387729
G8	5	65	HET	16.449148	2.5602062
F5	8	109	HET	14.256246	1.5853391
F2	1	111	WT	15.97903	-2.3061323
D11	18	178	Null	15.062268	-1.2987111
C8	12	85	HET	17.011915	-1.7339996
B10	1	155	Null	16.406834	-1.3083987
D7	15	83	HET	13.555184	-0.9113399
B2	4	97	WT	14.159979	-1.1468357
B2	10	97	WT	16.154743	-2.3782747
E12	3	115	Null	15.806687	2.498785
F2	17	111	WT	16.250553	2.1392322
C2	10	137	WT	15.865243	-0.42817092
F6	20	82	HET	15.696669	0.37511158
E6	3	66	HET	15.233928	-3.0880413
B11	2	148	Null	15.1621	-2.0409856
F4	21	94	WT	15.386134	-0.21181463
B9	5	173	Null	17.18287	0.31914818
F4	2	94	WT	16.62754	1.4700229
E9	9	120	Null	12.66938	1.632524
E12	9	115	Null	14.8709755	-1.0658858
B11	5	148	Null	16.543009	-1.8654251
C10	16	125	Null	15.727553	-0.18135615
F5	1	109	HET	13.964429	0.55305636
D11	11	178	Null	15.026599	-0.5148304
D1	21	91	WT	15.816987	-2.9534838
G1	1	72	WT	14.032093	1.1302384
C11	3	154	Null	14.128091	2.5524023
E9	12	120	Null	16.25511	0.71142787
G3	13	121	WT	16.230522	1.6977662
E10	4	132	Null	15.4613085	-0.47437742
C9	9	156	Null	16.034702	-1.9300066
C1	13	66	WT	15.133656	-2.1556206
B11	6	148	Null	16.660755	-2.4561741
C10	4	125	Null	16.490168	-1.0507694
F9	21	149	Null	15.793129	-0.84140223
D5	1	99	HET	15.27833	1.0610965
B1	6	79	WT	15.680244	0.5285588
D12	6	106	Null	16.966228	0.15999901
F9	8	149	Null	15.948924	0.18218009
F7	10	90	HET	13.253238	1.7070657
E11	19	185	Null	13.27473	-1.018302
G11	2	129	Null	12.717667	1.3253158
F10	20	152	Null	15.939563	1.1236838
D1	14	91	WT	16.867207	0.74711275
F10	12	152	Null	15.306799	1.1743399
G4	2	100	WT	16.154638	1.8831943
C12	3	119	Null	11.856199	-1.0787239
E10	2	132	Null	16.336834	-0.75584024
D1	21	91	WT	16.952492	-1.3599912
E5	16	89	HET	13.38621	0.80820113
B12	6	148	Null	16.736906	0.7955624
G7	5	94	HET	16.49004	1.8174039
F4	20	94	WT	13.41316	-1.5470761
G4	1	100	WT	14.153219	0.633191
G6	8	79	HET	15.233533	0.65049356
C7	13	100	HET	17.659548	0.55027765
F4	14	94	WT	17.181223	-0.4083222
G11	17	129	Null	15.032354	2.3730242
G10	19	129	Null	11.728774	1.1140078
B4	7	112	WT	15.124645	3.1154623
G4	10	100	WT	13.438828	2.3259394
C1	4	66	WT	14.822807	-2.8935957
D9	5	135	Null	15.828233	2.5506945
C6	14	71	HET	13.848457	-0.23044665
D5	20	99	HET	14.585871	2.0269542
B4	18	112	WT	15.540944	-2.6252823
C11	10	154	Null	14.019016	-0.36904347
B12	17	148	Null	17.389198	0.6538756
G3	12	121	WT	14.11091	0.6354031
E11	21	185	Null	15.041504	2.6444554
G5	21	61	HET	16.41567	1.0210377
G10	3	129	Null	14.55119	-1.6081705
F10	10	152	Null	15.950189	2.5172071
D3	1	128	WT	14.056321	-3.179223
F7	12	90	HET	17.50205	0.4847401
B2	3	97	WT	14.852311	-0.336013
F8	11	63	HET	13.86038	-2.394245
D6	4	76	HET	14.037776	1.6532868
E1	6	101	WT	16.138615	1.3371423
D9	19	135	Null	16.233727	0.22990228
B4	15	112	WT	16.371782	1.6915609
E7	6	103	HET	15.23448	-2.6940994
F11	2	135	Null	15.291881	2.732754
G6	8	79	HET	15.97708	-2.4297235
C10	15	125	Null	14.99951	-2.3804944
D7	13	83	HET	15.578473	-0.29030845
C8	16	85	HET	15.266427	-1.9606843
G8	18	65	HET	16.196678	0.25951934
E8	15	59	HET	15.812214	-2.0997858
B11	20	148	Null	14.196937	1.2045597
B12	4	148	Null	17.714327	-0.2868612
F6	10	82	HET	14.633155	-2.4709117
B7	21	78	HET	14.946804	-2.5356243
C2	19	137	WT	14.534275	1.6161808
D11	20	178	Null	14.919795	-1.9597603
C6	4	71	HET	15.870181	-1.1586753
E11	7	185	Null	12.589434	-0.6210444
D11	9	178	Null	16.816364	-0.2046776
D1	1	91	WT	16.33646	-2.8147368
D10	15	157	Null	15.95651	-1.9195276
B6	13	99	HET	14.045719	-3.1002173
D10	16	157	Null	13.257434	1.2507168
G3	14	121	WT	15.379416	-2.3767462
B11	12	148	Null	13.326861	-0.30074766
G9	20	149	Null	13.889115	2.5487754
F5	1	109	HET	11.980851	1.4835255
E10	5	132	Null	15.798979	-3.1012414
F10	13	152	Null	15.704526	-0.047392283
E8	5	59	HET	16.68615	1.4006212
C2	17	137	WT	14.523262	-1.1930323
B2	4	97	WT	13.576067	1.222513
D2	13	98	WT	15.702592	0.17324513
C8	4	85	HET	14.509311	1.5517104
G10	21	129	Null	15.194989	-0.46077827
E5	12	89	HET	15.379299	-2.9290981
G4	20	100	WT	15.770199	0.81925935
C9	20	156	Null	16.057508	0.8038525
G9	19	149	Null	12.2087965	0.9396436
B7	1	78	HET	14.873926	-0.67449546
E5	3	89	HET	16.901611	-2.0424898
E1	1	101	WT	15.672907	-0.31211287
C11	6	154	Null	15.61198	-0.64714277
G1	11	72	WT	16.79604	1.1375458
G12	7	121	Null	16.925	1.5583986
B12	7	148	Null	16.84782	1.3360256
B12	15	148	Null	15.907694	-2.0107164
E11	12	185	Null	14.0874405	-1.0175037
E12	21	115	Null	13.267181	0.4382814
B10	16	155	Null	11.094135	-1.6813396
B12	19	148	Null	11.521716	-0.9901832
F9	16	149	Null	12.40494	0.7827662
C4	21	104	WT	15.551845	-2.3971536
D9	1	135	Null	14.783633	1.2671204
D8	3	87	HET	14.766562	1.7293378
F12	6	125	Null	14.975191	-0.71940297
F6	2	82	HET	16.136461	-0.82600844
E1	9	101	WT	13.192112	-0.20941803
D4	13	102	WT	13.889794	-1.8582947
C4	2	104	WT	15.863231	1.0068729
B4	11	112	WT	16.1196	-2.2798407
B10	20	155	Null	15.847896	0.82851917
D10	9	157	Null	11.83419	-1.1880327
E4	15	86	WT	15.038774	-0.7498472
B12	21	148	Null	14.5281	-3.002365
G1	3	72	WT	17.625658	-1.1077697
F9	17	149	Null	17.207064	1.418718
F7	19	90	HET	15.752564	0.04141253
C12	20	119	Null	16.295883	2.2584562
D7	9	83	HET	16.499823	2.0664585
B2	5	97	WT	16.843855	-0.96675944
E5	19	89	HET	14.643247	2.0836737
F11	14	135	Null	15.73184	1.5767677
E6	16	66	HET	15.310068	-2.8573043
E10	16	132	Null	14.305933	-0.3492928
B5	4	101	HET	16.955814	-2.0734766
B4	15	112	WT	16.929455	-0.7861039
F9	8	149	Null	15.272155	2.6793957
E11	11	185	Null	12.006131	-0.9689552
C7	15	100	HET	17.583202	-1.5047665
B1	6	79	WT	17.203306	-1.1223426
D6	2	76	HET	15.930097	-0.75071454
F3	2	92	WT	16.365955	0.9318214
D9	3	135	Null	15.565208	0.05177143
D11	8	178	Null	15.86664	0.06604255
D8	2	87	HET	14.555241	-1.6434727
G9	19	149	Null	14.648592	-2.6806326
D10	8	157	Null	16.88751	2.2062669
B4	8	112	WT	17.244028	-1.2095821
D2	1	98	WT	11.940607	-0.8334817
F3	2	92	WT	14.660707	-0.49286866
G1	1	72	WT	17.207024	2.0906036
C4	20	104	WT	17.45127	-1.6281778
B4	11	112	WT	13.229969	-1.0931149
C4	21	104	WT	15.871803	-0.75497746
F10	7	152	Null	15.339307	-1.2596996
D12	19	106	Null	15.278549	1.3859582
C11	5	154	Null	15.872665	-2.8176305
B11	3	148	Null	17.488274	-1.4731586
E7	13	103	HET	13.663505	-0.1148177
B1	7	79	WT	17.311378	0.779706
G12	2	121	Null	14.869261	-1.248011
D11	4	178	Null	16.449522	-1.2267514
B11	19	148	Null	13.220235	-1.0197761
D8	5	87	HET	15.29869	-3.2777283
B9	13	173	Null	17.120644	1.5441642
B9	1	173	Null	13.052424	0.046890803
C2	10	137	WT	16.982159	-0.3706964
F10	20	152	Null	13.99634	0.36783615
F5	9	109	HET	16.866604	1.9422008
B9	6	173	Null	17.103136	-1.6847634
D9	16	135	Null	15.749579	-2.6930437
F1	10	88	WT	17.320295	1.0261546
D10	3	157	Null	16.809418	1.0320667
