Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D3	2	128	WT	Plate_5	2.818278	3.9944649
E6	9	174	HET	Plate_3	0.3748777	2.316135
C12	24	321	Null	Plate_3_prime	-0.6875367	5.8762617
F9	7	149	Null	Plate_5	0.16307896	0.49238813
C4	22	127	WT	Plate_3_prime	2.1051595	5.446123
G8	14	358	HET	Plate_3_prime	-2.2638974	3.781721
C12	4	570	Null	Plate_3	-2.640332	3.8469446
B8	5	797	HET	Plate_3	-0.07475178	1.093045
D3	18	305	WT	Plate_3	0.6227371	1.624397
C7	5	331	HET	Plate_3	-0.3384172	5.6097283
G12	20	481	Null	Plate_3	0.9502005	5.552027
G12	7	121	Null	Plate_5	1.6843914	1.371658
B8	25	107	HET	Plate_3_prime	-1.0274295	5.4483514
D3	5	305	WT	Plate_3	2.6505775	3.014234
C8	19	85	HET	Plate_5	2.4677694	1.5360187
B4	11	112	WT	Plate_5	-0.85374886	2.9111
G12	4	481	Null	Plate_3	0.18990003	0.85389113
C4	25	666	WT	Plate_3	-1.8347263	4.6212068
B12	13	531	Null	Plate_3	0.9521097	-1.8049672
B7	22	257	HET	Plate_3	2.4931743	3.3402436
F11	24	329	Null	Plate_3	0.48144338	5.6074967
C3	10	346	WT	Plate_3	-1.2863135	4.995795
B2	7	139	WT	Plate_3	0.32091165	6.0732155
E1	6	101	WT	Plate_5	-2.3170578	4.5577655
B8	14	797	HET	Plate_3	-0.91877455	2.1717658
C4	3	666	WT	Plate_3	-3.8940032	2.5769339
D6	25	126	HET	Plate_3	0.6000768	1.6576409
G6	15	125	HET	Plate_3_prime	1.0360879	4.09973
F4	25	284	WT	Plate_3_prime	-2.531993	3.4029012
D5	2	99	HET	Plate_5	0.19575594	3.5341535
E3	15	122	WT	Plate_5	-1.8970855	4.801325
F7	18	90	HET	Plate_5	1.3177047	1.5186538
E4	20	246	WT	Plate_3_prime	-0.87229455	5.4401693
B7	1	257	HET	Plate_3	1.6682779	5.201625
B7	14	257	HET	Plate_3	0.36968136	4.357084
B6	22	104	HET	Plate_3_prime	3.0460224	2.8024304
D6	11	76	HET	Plate_5	0.12144333	5.9540443
F8	18	557	HET	Plate_3	-0.031711753	1.3334341
E8	23	705	HET	Plate_3	-1.8797723	4.276832
F7	2	387	HET	Plate_3	-0.28759974	0.862588
F12	11	647	Null	Plate_3	-0.47349116	5.316143
F9	18	71	Null	Plate_3	2.113552	2.0008175
B10	5	155	Null	Plate_5	3.1437948	-0.116539136
F5	24	75	HET	Plate_3	3.5507946	3.4591646
C4	15	666	WT	Plate_3	-1.708018	4.5221334
D3	2	305	WT	Plate_3	0.06725747	5.3958364
C8	17	628	HET	Plate_3	0.9658548	1.7156518
