Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E2	2	113	WT	Plate_4	12.581295	5.395594
D11	23	138	WT	Plate_4	11.848882	5.1234927
G9	21	148	WT	Plate_4	13.297876	6.6984415
D3	1	144	WT	Plate_4	13.676573	2.2273912
E11	13	145	WT	Plate_4	12.336368	5.436396
E5	23	136	WT	Plate_4	14.765089	6.300664
D6	22	126	WT	Plate_4	13.5696535	3.6619563
C5	19	111	Null	Plate_4	14.982816	4.091243
D5	11	90	Null	Plate_4	13.240063	4.8789806
G3	17	150	WT	Plate_4	14.891183	5.7446413
C3	14	112	WT	Plate_4	11.444622	7.091852
F4	12	127	WT	Plate_4	13.50118	4.5214896
C2	21	140	Null	Plate_4	14.589676	5.2517896
D3	2	144	WT	Plate_4	11.146822	2.5017161
F10	16	154	WT	Plate_4	14.856792	4.8377295
F4	11	127	WT	Plate_4	14.6964	6.794491
C6	3	67	WT	Plate_4	12.231439	3.7398016
F8	16	170	WT	Plate_4	14.965412	3.8501596
D7	4	125	WT	Plate_4	14.070616	7.35924
B3	13	133	WT	Plate_4	14.196498	1.8508812
D6	11	126	WT	Plate_4	11.964124	7.381851
F3	2	117	WT	Plate_4	9.172338	3.2931247
C8	8	96	Null	Plate_4	12.8104105	4.8583965
D11	15	138	WT	Plate_4	15.349291	6.4417267
D7	22	125	WT	Plate_4	13.087424	2.7645657
G2	12	159	WT	Plate_4	12.772932	6.817444
F2	11	136	WT	Plate_4	13.327517	7.2870717
E10	4	88	WT	Plate_4	10.553405	4.5995307
F5	18	140	WT	Plate_4	15.378063	5.0275207
G5	9	133	WT	Plate_4	15.196466	4.724434
B8	9	125	WT	Plate_4	10.965988	4.4783745
C4	6	102	WT	Plate_4	15.646851	5.26257
G6	5	114	WT	Plate_4	10.923969	4.5252366
D4	7	144	WT	Plate_4	11.142529	7.4581757
F7	9	157	WT	Plate_4	13.93307	1.9530119
C8	12	96	Null	Plate_4	13.538115	7.7143903
E3	10	124	WT	Plate_4	12.908027	4.462296
F4	23	127	WT	Plate_4	13.755408	2.2532701
G4	16	176	WT	Plate_4	15.305337	2.5909684
G8	21	126	WT	Plate_4	15.605725	3.731855
G8	6	126	WT	Plate_4	12.13883	7.7205806
F7	15	157	WT	Plate_4	12.116562	6.6081386
E11	1	145	WT	Plate_4	15.310879	4.1336193
G9	12	148	WT	Plate_4	15.133734	6.494505
C9	8	91	WT	Plate_4	11.366072	6.000763
D6	8	126	WT	Plate_4	9.658356	8.988267
D2	6	69	Null	Plate_4	15.77533	5.5442867
B8	25	125	WT	Plate_4	14.74068	5.9230266
G11	23	118	Null	Plate_4	13.232168	5.945553
G2	23	159	WT	Plate_4	13.164505	4.4244328
G3	16	150	WT	Plate_4	12.570484	7.6618004
B7	4	124	WT	Plate_4	11.368546	6.2928777
F2	9	136	WT	Plate_4	14.369808	7.064437
G6	3	114	WT	Plate_4	11.205905	2.1482978
C6	19	67	WT	Plate_4	11.832932	7.611105
C8	23	96	Null	Plate_4	9.279109	3.3189666
D3	18	144	WT	Plate_4	14.459955	7.3183575
C9	14	91	WT	Plate_4	11.716226	7.643998
B8	4	125	WT	Plate_4	15.106465	2.3448093
B2	12	111	WT	Plate_4	11.8884325	7.627445
D4	16	144	WT	Plate_4	14.555507	7.047055
G10	17	121	WT	Plate_4	13.543228	2.9471498
D3	14	144	WT	Plate_4	13.423439	7.152969
D9	13	97	WT	Plate_4	13.455929	6.8964634
G6	14	114	WT	Plate_4	14.188548	3.330302
B5	7	124	WT	Plate_4	15.446556	4.3850794
B8	5	125	WT	Plate_4	10.898971	6.9180465
D2	2	69	Null	Plate_4	14.486674	2.8459563
F7	3	157	WT	Plate_4	14.512367	4.85007
F2	8	136	WT	Plate_4	15.281284	5.501462
E4	8	192	WT	Plate_4	10.603044	4.5010853
C9	15	91	WT	Plate_4	12.205119	2.9391959
F7	8	157	WT	Plate_4	15.173656	5.735531
F8	7	170	WT	Plate_4	12.15894	7.5538616
B9	14	132	WT	Plate_4	15.0866585	3.506404
G6	24	114	WT	Plate_4	12.356878	7.761503
B3	10	133	WT	Plate_4	13.006721	6.829508
C5	12	111	Null	Plate_4	10.988518	4.2764864
C9	24	91	WT	Plate_4	14.999648	5.014811
D11	9	138	WT	Plate_4	14.144189	6.642903
G10	2	121	WT	Plate_4	8.8516655	3.1434526
F3	12	117	WT	Plate_4	14.308345	5.436266
G6	12	114	WT	Plate_4	13.069517	4.4058585
E6	20	124	WT	Plate_4	15.56724	2.8690836
B11	12	101	WT	Plate_4	13.656733	6.747936
B7	19	124	WT	Plate_4	10.943209	3.2800589
G5	7	133	WT	Plate_4	11.487861	2.5000532
G7	16	146	WT	Plate_4	10.902183	4.5838475
C11	15	95	WT	Plate_4	12.894552	6.37504
E7	7	142	WT	Plate_4	12.898768	6.8663363
B11	21	101	WT	Plate_4	13.883876	6.9428916
E6	6	124	WT	Plate_4	12.50388	3.58722
