Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D11	17	67	Null	Plate_6_filtered	9.253572	2.144049
B9	17	135	WT	Plate_6_filtered	11.114951	1.0636555
G9	13	87	Null	Plate_6_filtered	8.326408	6.3129926
E11	11	232	WT	Plate_6_filtered	8.197298	2.4330995
E2	36	141	WT	Plate_6_filtered	8.019864	6.3188734
G11	16	114	Null	Plate_6_filtered	10.528956	6.4684486
G11	4	114	Null	Plate_6_filtered	9.053097	6.9591537
B11	34	122	WT	Plate_6_filtered	10.999225	3.4233112
B5	21	91	WT	Plate_6_filtered	6.055871	1.9078488
D5	25	50	Null	Plate_6_filtered	11.576165	4.2767987
B2	28	129	WT	Plate_6_filtered	11.7657175	1.5165733
D6	18	54	Null	Plate_6_filtered	10.088075	2.6623898
B3	27	116	WT	Plate_6_filtered	11.285362	1.4980222
E10	14	224	WT	Plate_6_filtered	6.8828626	5.5690136
G3	33	123	Null	Plate_6_filtered	6.960712	1.7354999
B8	34	92	WT	Plate_6_filtered	12.331499	3.86746
B9	16	135	WT	Plate_6_filtered	10.428388	3.9767058
G8	30	132	Null	Plate_6_filtered	10.544901	6.1242023
D7	5	68	Null	Plate_6_filtered	10.755758	2.2399094
G10	25	88	Null	Plate_6_filtered	9.224834	2.8449857
E11	22	232	WT	Plate_6_filtered	7.3488393	1.4182591
B10	22	124	WT	Plate_6_filtered	7.7836256	4.9429593
G3	3	123	Null	Plate_6_filtered	7.677952	1.8666339
B7	21	102	WT	Plate_6_filtered	11.901348	1.6259434
G4	23	109	Null	Plate_6_filtered	7.8690577	5.7805176
B10	13	124	WT	Plate_6_filtered	9.888101	1.4944682
E9	29	251	WT	Plate_6_filtered	10.39089	5.2714286
E2	11	141	WT	Plate_6_filtered	9.507135	5.01724
E11	26	232	WT	Plate_6_filtered	7.6977377	2.7323349
E4	6	131	WT	Plate_6_filtered	7.1339417	5.546511
G6	15	133	Null	Plate_6_filtered	9.33652	6.377228
G5	2	131	Null	Plate_6_filtered	9.240148	5.4370646
E8	19	215	WT	Plate_6_filtered	8.523318	3.9225225
G11	11	114	Null	Plate_6_filtered	9.292629	6.4313626
B8	28	92	WT	Plate_6_filtered	10.997085	0.7789169
D3	25	55	Null	Plate_6_filtered	10.285323	3.0875278
G10	13	88	Null	Plate_6_filtered	6.1755266	1.456477
E5	2	172	WT	Plate_6_filtered	7.853106	2.3540366
B11	16	122	WT	Plate_6_filtered	7.6722574	7.1315784
B10	16	124	WT	Plate_6_filtered	11.441004	1.2564095
E2	13	141	WT	Plate_6_filtered	8.456775	5.8920455
G4	12	109	Null	Plate_6_filtered	8.984801	7.284357
G3	8	123	Null	Plate_6_filtered	9.315446	3.3731647
B7	23	102	WT	Plate_6_filtered	12.042682	1.3896205
B3	33	116	WT	Plate_6_filtered	10.322093	1.3582538
E5	10	172	WT	Plate_6_filtered	8.077061	3.600808
E7	35	194	WT	Plate_6_filtered	9.166405	6.2346067
B2	15	129	WT	Plate_6_filtered	10.29473	4.0344205
D5	24	50	Null	Plate_6_filtered	9.846919	3.845644
B9	30	135	WT	Plate_6_filtered	10.748913	1.7137336
B5	26	91	WT	Plate_6_filtered	12.288045	3.0266778
E9	15	251	WT	Plate_6_filtered	9.923537	5.69127
E9	15	251	WT	Plate_6_filtered	9.759469	6.817834
E10	16	224	WT	Plate_6_filtered	6.4121904	1.7772106
E11	27	232	WT	Plate_6_filtered	7.639357	2.8287733
E9	36	251	WT	Plate_6_filtered	8.282355	7.408285
G6	34	133	Null	Plate_6_filtered	7.168799	3.5646322
G10	19	88	Null	Plate_6_filtered	10.984351	5.485753
D8	22	62	Null	Plate_6_filtered	12.308756	3.3730855
E3	32	161	WT	Plate_6_filtered	8.684936	5.3385963
E10	6	224	WT	Plate_6_filtered	9.7867365	5.9332833
G3	32	123	Null	Plate_6_filtered	8.535184	1.3371085
