Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
C12	25	321	Null	3.6166081	-3.5186708
C11	19	54	Null	0.5184113	-4.3779473
G3	10	248	WT	1.6293179	-1.9485581
G4	22	388	WT	4.7879305	-4.8372407
D4	25	358	WT	3.477673	-7.711989
D3	10	168	WT	3.5849028	-3.0692184
G12	10	187	Null	5.5691586	-2.2892127
G3	8	248	WT	2.605518	-2.8492663
C12	7	321	Null	1.8856517	-4.477763
F9	11	36	Null	2.5523667	-1.1452532
F2	7	91	WT	4.3610888	-0.5314026
G12	15	187	Null	1.3355606	-4.0324163
D3	22	168	WT	1.0326413	-5.051469
C12	8	321	Null	3.5981767	-4.1628184
C12	24	321	Null	4.403771	-1.8259732
G4	23	388	WT	2.4097052	-5.5585284
E4	4	246	WT	4.140404	-3.6293614
E4	24	246	WT	4.787573	-4.093835
C3	22	138	WT	1.6268412	-4.4964747
E12	20	328	Null	3.391142	-4.2666273
