Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
C12	3	321	Null	3.484652	-3.7458575
E6	10	94	HET	4.556297	0.413177
D3	9	168	WT	3.4406683	-2.973579
C3	23	138	WT	5.670779	-2.8441715
D8	15	122	HET	0.57988924	-2.296858
E11	25	59	Null	2.0364726	-2.6796167
B10	11	49	Null	3.4133818	-1.4416515
D4	10	358	WT	3.6526184	-4.696457
D3	21	168	WT	4.7783656	-2.8347006
C2	14	42	WT	2.87435	-0.60101396
G5	6	66	HET	3.8462846	0.836902
D4	13	358	WT	2.0023427	-4.6630425
C2	6	42	WT	-0.0059368145	0.45989612
D4	20	358	WT	2.5192528	-5.0574026
B4	10	219	WT	0.42505834	-4.7090397
B7	19	33	HET	3.2457795	-5.794566
E3	12	156	WT	0.40071467	-3.9782865
C12	12	321	Null	-0.03689963	0.2601505
C1	1	33	WT	4.7849274	-0.94899714
G3	13	248	WT	2.7411847	-2.8884835
F6	4	117	HET	4.1499248	-0.044897046
G12	4	187	Null	1.5308875	-5.516089
B4	25	219	WT	1.6224613	-4.5401525
F12	23	125	Null	3.6906643	-4.3996425
B7	19	33	HET	1.0372552	-2.452605
E6	21	94	HET	4.882337	-0.8506615
D10	14	51	Null	3.528768	-0.619887
B12	18	200	Null	0.9136589	-4.0244746
G3	7	248	WT	3.142259	-2.6642745
F4	10	284	WT	-1.7008827	-3.645497
F7	10	40	HET	5.3257165	-2.2387471
G4	14	388	WT	0.92833215	-2.656451
F6	23	117	HET	3.311996	-0.2493265
G4	9	388	WT	1.5046365	-4.1194043
F6	18	117	HET	4.5074224	0.10997571
C1	5	33	WT	4.869504	-0.36620185
G3	17	248	WT	1.7057743	-4.719179
D4	18	358	WT	4.725445	-4.0122375
G4	20	388	WT	4.893044	-4.222518
F4	13	284	WT	1.2651489	-5.286605
G10	20	72	Null	3.5699039	0.64793843
E6	4	94	HET	4.2035584	-0.37265724
G3	25	248	WT	3.0735073	-2.9132514
F2	11	91	WT	3.8029408	1.0630217
G7	25	82	HET	0.6986212	-2.3841887
E12	15	328	Null	3.718897	-5.030273
G8	7	358	HET	4.3479395	-4.2989597
B2	8	55	WT	4.6432567	0.048613116
D12	23	193	Null	1.174377	-4.7192955
F3	22	174	WT	3.2370062	-3.0912554
C6	13	98	HET	3.9505239	-5.385723
D4	19	358	WT	2.056422	-5.967458
C12	13	321	Null	4.358357	-4.394775
E2	4	60	WT	4.1596575	-0.73064506
G4	9	388	WT	1.1384352	-0.7974321
G11	8	142	Null	3.8683915	-2.8008952
G11	23	142	Null	1.4425789	-4.108076
E2	1	60	WT	4.833783	-0.1596974
B8	25	107	HET	1.0400821	-2.2637005
G4	21	388	WT	0.32818595	-4.601543
G2	22	94	WT	3.6233711	-2.0062988
G9	22	44	Null	4.0581975	-1.2667074
F10	4	66	Null	2.7101808	-0.13868354
B8	15	107	HET	1.7031063	-3.1869762
C9	8	42	Null	-0.08682555	-2.7118876
B9	3	47	Null	3.0705187	-0.31994364
C3	20	138	WT	1.506957	-4.6568594
D11	23	100	Null	4.644792	-2.4076111
G4	4	388	WT	1.52365	-4.9719553
D6	6	99	HET	2.643848	-0.11104532
D4	7	358	WT	3.3692918	-5.7506394
E12	20	328	Null	3.4408937	-4.966539
F6	12	117	HET	4.6181455	-0.003750447
D4	4	358	WT	0.95313764	-5.620854
F5	6	47	HET	3.171709	1.1907148
B3	25	77	WT	1.2589897	-0.6042276
G6	11	125	HET	3.2792323	-0.5496578
G12	23	187	Null	3.3542814	-2.6927667
C10	10	45	Null	3.6094053	0.5104907
C12	18	321	Null	2.9225605	-3.9352908
C12	22	321	Null	4.370991	-4.419047
B12	19	200	Null	0.49182975	-5.0497284
E4	20	246	WT	5.00272	-3.4761395
C1	5	33	WT	4.619371	0.1328372
G4	15	388	WT	1.1857584	-1.7796235
D6	14	99	HET	4.287911	0.471507
C9	12	42	Null	3.099195	-2.175634
C9	18	42	Null	1.4722592	-1.3475013
B6	24	104	HET	2.4418569	-0.96157676
B10	14	49	Null	3.5208786	-0.4165907
G3	7	248	WT	1.3570085	-4.3125033
E2	19	60	WT	3.3442242	0.41451824
D3	25	168	WT	1.3921171	-5.4835267
G8	14	358	HET	1.6291941	-5.221464
E11	25	59	Null	0.41423538	-3.936679
D3	12	168	WT	4.250163	-3.0120747
G2	21	94	WT	4.765398	0.35200664
B6	12	104	HET	2.7932634	0.41996002
G11	3	142	Null	4.467554	-2.8330066
C10	19	45	Null	3.5979123	-0.66735
D6	3	99	HET	3.5574706	0.9341921
B3	14	77	WT	5.3085423	-2.7664266
C7	5	54	HET	2.383176	-2.2755656
D4	17	358	WT	3.5537527	-4.893267
F4	4	284	WT	3.9159122	-4.0570383
B2	13	55	WT	2.556049	-0.47151166
C12	21	321	Null	5.071773	-3.7759202
G8	15	358	HET	3.4992704	-7.874692
F3	16	174	WT	4.7636075	-2.7245698
F3	25	174	WT	1.7840536	-2.865723
G1	8	27	WT	4.321448	-0.1593449
G7	15	82	HET	4.6274447	-2.6294534
G2	16	94	WT	2.978248	-1.2371502
C3	24	138	WT	4.2990437	-3.6099944
D11	13	100	Null	-0.04846556	-2.7042913
G9	20	44	Null	4.5837812	-0.48635182
G11	16	142	Null	0.27508068	-3.6079776
C6	24	98	HET	3.44945	-1.4384654
B12	15	200	Null	3.4907062	-7.7554207
G4	19	388	WT	0.9991874	-2.0817404
B4	8	219	WT	0.40833038	-4.8841915
D10	8	51	Null	4.4103374	-0.6102094
B6	8	104	HET	4.336555	-0.78896743
C3	20	138	WT	0.6142799	-1.5321338
G8	19	358	HET	0.052488014	-0.22144742
G4	7	388	WT	1.5384737	-4.592525
G2	20	94	WT	4.1422653	-0.8475343
G3	14	248	WT	0.6200597	-4.5443316
D4	7	358	WT	0.9357037	-4.552905
C4	20	127	WT	3.7976916	-4.6630564
D4	25	358	WT	1.1377518	-5.2152514
C1	22	33	WT	4.9512086	-1.5536017
C12	19	321	Null	1.4772462	-5.1449327
G8	17	358	HET	0.7094307	-3.9561455
B4	5	219	WT	3.137601	-3.2049592
D8	25	122	HET	0.14377847	-1.5635662
C6	1	98	HET	1.5869023	-0.1726372
G1	21	27	WT	3.1154857	-0.42678705
G11	23	142	Null	4.6641593	-1.5873898
D4	25	358	WT	3.243274	-4.0303183
E5	15	53	HET	3.5053225	0.9814232
C10	22	45	Null	2.4631066	-0.684827
G4	7	388	WT	3.232283	-4.7806015
D7	7	76	HET	2.685763	-2.3986962
C12	3	321	Null	4.2753887	-4.3332543
G8	8	358	HET	2.2041314	-3.3905327
E4	19	246	WT	3.8631294	-3.4770844
B9	23	47	Null	4.9372325	-0.26650134
G8	15	358	HET	0.0004730178	-0.33118582
D6	12	99	HET	3.078681	-1.0039525
C3	8	138	WT	2.1605241	-3.280928
F3	25	174	WT	3.126127	-1.4614819
B8	23	107	HET	1.8301504	-2.4625537
G12	20	187	Null	3.1930518	-5.0367117
B6	18	104	HET	3.7292116	0.9394885
C1	7	33	WT	0.42692357	-0.029117357
D4	23	358	WT	2.6450162	-2.7401245
C6	7	98	HET	4.8042965	-0.91734666
G4	19	388	WT	2.9232895	-4.6891327
C1	4	33	WT	3.2795045	-0.13670915
G3	5	248	WT	1.622615	-1.9332445
G11	9	142	Null	1.0428176	-1.3354529
G8	8	358	HET	4.310145	-2.6391802
F6	7	117	HET	3.1756418	-0.4957611
B12	14	200	Null	1.6973987	-4.243451
C12	19	321	Null	4.112939	-4.777885
G8	7	358	HET	2.1860428	-3.8624704
C12	2	321	Null	1.9338094	-4.226181
F4	25	284	WT	3.4112098	-6.98505
G2	6	94	WT	3.2028494	-0.7391084
F12	14	125	Null	1.1158446	-4.068025
B2	8	55	WT	2.5000637	0.34182844
F6	16	117	HET	3.329189	-1.4872006
G3	9	248	WT	1.400189	-3.720793
G2	17	94	WT	4.8167524	-0.6429273
C3	18	138	WT	1.0869412	-4.796558
F4	20	284	WT	2.936481	-3.1638973
G8	21	358	HET	1.0688002	-0.5686884
F2	8	91	WT	2.2505145	0.23829314
D7	4	76	HET	1.8072315	-1.5573915
G4	6	388	WT	3.0259948	-3.3665187
E4	13	246	WT	3.0515976	-5.7298784
F3	3	174	WT	2.1943572	-3.4284623
F5	6	47	HET	3.5978742	0.5649142
G8	13	358	HET	1.4858088	-2.3284903
B2	5	55	WT	3.782442	0.13919431
F4	5	284	WT	1.1709158	-2.2229857
G4	25	388	WT	1.281723	-4.539708
C4	9	127	WT	4.7902217	-2.2400587
C4	25	127	WT	2.8202157	-3.437764
F4	4	284	WT	3.650654	-5.4269977
G10	11	72	Null	0.19470586	-1.7663836
B8	23	107	HET	3.381011	-4.706695
G11	22	142	Null	1.6588886	-2.9553926
E4	25	246	WT	4.319883	-4.237468
D10	14	51	Null	1.048899	0.33716202
E3	16	156	WT	3.972063	-2.7577558
E6	14	94	HET	2.8011253	-0.38629755
G3	19	248	WT	4.4349	-3.7125967
G4	12	388	WT	1.4513663	-4.9696226
E6	12	94	HET	0.038698193	0.35405988
C6	21	98	HET	3.4341042	-1.3723866
C12	9	321	Null	3.0423706	-4.0910316
B4	24	219	WT	0.2924519	-1.7865446
D4	8	358	WT	4.4734898	-2.99926
B4	23	219	WT	5.2491837	-3.0300736
G1	21	27	WT	2.6265366	0.6135271
B12	15	200	Null	2.6509647	-5.8548737
G3	23	248	WT	2.529637	-2.8461006
G4	22	388	WT	4.22456	-4.983778
B12	25	200	Null	2.2190309	-5.311144
G4	22	388	WT	5.485984	-3.2213192
G4	25	388	WT	2.3211982	-3.993845
C12	7	321	Null	0.89728814	-2.7559798
C9	2	42	Null	2.6786213	-0.8551124
B12	23	200	Null	3.0497873	-3.8173568
G12	9	187	Null	3.2435265	-4.9899592
G10	17	72	Null	4.747917	-0.07689614
B8	15	107	HET	5.5244384	-2.5643244
E3	22	156	WT	3.363228	-2.7206001
E10	23	74	Null	4.3768353	0.3928067
G8	24	358	HET	1.2114365	-2.2422802
F3	4	174	WT	3.8958385	-2.8478134
D4	9	358	WT	1.537969	-4.0413365
F4	17	284	WT	0.76214767	-4.4996276
D12	9	193	Null	3.394043	-5.607905
D3	3	168	WT	0.15659621	-3.6695833
G2	23	94	WT	4.7294645	-0.9801649
D4	5	358	WT	2.8895204	-4.2374125
E12	23	328	Null	2.8682258	-4.003413
D7	10	76	HET	0.34200364	-4.428612
B6	16	104	HET	4.0653152	-0.2979312
E3	7	156	WT	3.5950367	-2.7118728
C12	18	321	Null	3.3257694	-4.254284
G8	19	358	HET	0.22644666	-0.39481074
G11	17	142	Null	0.06726538	-2.5707202
B6	18	104	HET	2.8190367	-0.44699055
D4	2	358	WT	0.8982511	-3.3987145
D5	10	39	HET	3.558668	0.103162736
G12	24	187	Null	3.0096037	-2.511701
G4	14	388	WT	3.412108	-7.0745077
B8	24	107	HET	3.3496578	-6.882262
F6	1	117	HET	3.6271744	-1.2598163
E11	17	59	Null	-0.1439016	-3.4174588
G6	22	125	HET	1.8679299	0.017320886
D6	12	99	HET	4.315907	-1.2128007
D12	15	193	Null	2.845956	-4.986287
E3	7	156	WT	5.0089793	-3.5431721
G11	5	142	Null	4.177791	-3.529125
F4	10	284	WT	0.2669473	-1.4481361
D7	15	76	HET	-0.15840034	-3.0243301
C3	24	138	WT	3.9257948	-3.0932922
D8	25	122	HET	1.5522132	-2.7522302
D4	9	358	WT	2.5964813	-5.4413066
B2	13	55	WT	0.14039873	0.47174183
B12	15	200	Null	2.9493456	-6.246695
E12	13	328	Null	2.2841494	-5.209345
G10	21	72	Null	2.7739503	-1.0466077
B12	14	200	Null	1.1086758	-4.5109644
B5	13	45	HET	4.9453874	-0.27772394
C6	7	98	HET	2.7399821	-0.9278539
E4	24	246	WT	3.3174887	-4.254286
C7	5	54	HET	1.9897434	-2.6663933
F10	25	66	Null	3.562057	-0.76984566
G2	23	94	WT	4.348768	-0.9814852
C3	12	138	WT	4.7543607	-2.7471294
B9	22	47	Null	4.1154256	0.9574453
G8	22	358	HET	1.0881737	-0.6007228
E12	10	328	Null	4.5637794	-3.8776608
B6	12	104	HET	4.325075	-1.741349
G11	16	142	Null	5.356672	-2.273189
F12	22	125	Null	2.336436	-4.3832893
C4	25	127	WT	3.4679472	-3.769428
F5	6	47	HET	3.09584	-1.1332107
D8	15	122	HET	3.2385464	-2.2643046
G12	9	187	Null	3.3227751	-2.5517666
G12	10	187	Null	2.3451617	-2.931188
G4	9	388	WT	0.9729123	-2.618424
F4	22	284	WT	1.3711951	-4.994702
F6	21	117	HET	3.3613327	1.0622448
B4	22	219	WT	1.1748856	-1.1116265
D12	9	193	Null	1.4920553	-2.6289127
E10	7	74	Null	3.7817998	-0.8798504
G8	6	358	HET	2.447906	-2.4141147
E12	9	328	Null	3.5794065	-4.949153
C12	21	321	Null	2.0912738	-4.851416
C10	1	45	Null	3.6887996	-1.211413
D12	13	193	Null	3.617883	-4.7691817
D7	5	76	HET	4.3293376	-2.5051749
B12	15	200	Null	3.7136898	-4.8344793
D12	20	193	Null	4.3077774	-4.0856166
E6	16	94	HET	2.0220678	-0.98952436
C4	22	127	WT	0.68453467	-4.309822
D12	4	193	Null	3.2370284	-4.861461
E12	4	328	Null	2.0327566	-3.511989
B12	16	200	Null	2.8148222	-5.259788
G2	16	94	WT	2.706438	-0.8299178
G12	15	187	Null	-0.167092	-0.37560624
F4	15	284	WT	1.6574712	-4.3418093
F4	25	284	WT	4.4029317	-5.019704
C1	5	33	WT	3.0954945	0.09844931
C12	15	321	Null	-0.3574688	-0.15005845
G4	17	388	WT	0.70482093	-4.1068664
C4	23	127	WT	3.1345606	-4.2899127
G4	9	388	WT	1.7814529	-5.468937
G2	22	94	WT	4.334166	-1.092827
F3	14	174	WT	-0.12159742	-0.31437784
C12	18	321	Null	4.1895885	-4.5766206
D4	15	358	WT	4.3244305	-3.432896
D8	25	122	HET	1.0746862	-1.7150599
C12	8	321	Null	1.353506	-5.064444
G2	18	94	WT	4.782063	-0.03224699
F12	19	125	Null	0.799867	-1.2545149
B12	15	200	Null	-0.23270829	-0.3232701
B12	18	200	Null	1.5970516	-2.6234906
E3	10	156	WT	4.9672227	-2.9640458
B11	19	53	Null	2.1643655	-1.9182888
F11	25	100	Null	0.8710007	-0.569708
E6	15	94	HET	3.7655122	-0.9607972
E5	13	53	HET	3.2130694	-1.341053
D12	20	193	Null	1.518068	-2.2686934
B11	5	53	Null	2.5770683	-3.4946158
D7	12	76	HET	2.0347934	-2.714704
E3	9	156	WT	2.1052504	-5.584571
B8	15	107	HET	2.6443515	-4.6765785
G4	14	388	WT	3.555218	-4.1781845
E6	18	94	HET	4.504696	-0.68923485
E4	15	246	WT	3.948637	-5.260397
G3	17	248	WT	2.9131222	-2.9411533
D2	20	44	WT	3.7181695	0.87838906
C12	2	321	Null	2.4310503	-5.4060483
D3	22	168	WT	4.9165025	-2.6653235
D2	10	44	WT	2.3606286	0.31460586
G3	13	248	WT	1.8439465	-4.4379
G4	12	388	WT	3.4028487	-5.1412673
B8	23	107	HET	4.295201	-3.7126334
B10	21	49	Null	2.9152248	-2.1488595
E12	15	328	Null	2.7590868	-4.288225
G9	18	44	Null	2.7392416	-0.69648916
F1	16	13	WT	2.785025	0.6394988
E10	21	74	Null	2.7542424	-0.6120026
D8	14	122	HET	0.46678895	-3.8165233
B4	14	219	WT	4.9345856	-4.1628356
E10	2	74	Null	3.450788	0.92905545
C9	8	42	Null	3.2668562	-1.2755477
E12	20	328	Null	4.580708	-4.836676
C12	22	321	Null	3.4263344	-3.426835
F4	4	284	WT	2.2291539	-4.0217037
C12	18	321	Null	3.3305757	-3.7698133
D4	23	358	WT	2.362745	-5.346195
D4	2	358	WT	1.196422	-5.0037584
E12	17	328	Null	0.5221058	-4.586348
B11	5	53	Null	0.5375751	-3.65642
G4	19	388	WT	1.1716143	-5.0238843
E3	22	156	WT	-0.049415614	-3.8463082
C2	6	42	WT	0.03598251	0.42867178
D12	9	193	Null	1.5675328	-2.0793548
D1	7	47	WT	2.9888206	-0.87230676
E12	17	328	Null	2.9848251	-5.443946
G8	11	358	HET	0.2865443	-1.8469746
D4	18	358	WT	0.78403455	-5.32059
F4	25	284	WT	4.869357	-4.1531725
C1	10	33	WT	4.705846	-0.27202344
G3	3	248	WT	3.1805944	-3.5383487
D4	2	358	WT	1.4813633	-5.4123473
F12	9	125	Null	5.0195293	-3.7100117
B12	20	200	Null	1.4826989	-3.3778493
G2	14	94	WT	2.296393	0.042368166
G2	18	94	WT	4.8894753	-0.12207501
F10	20	66	Null	1.8924091	0.23695965
G12	8	187	Null	0.57815844	-3.5983458
D11	7	100	Null	2.8031898	-2.0742834
D7	4	76	HET	4.6054616	-2.6455114
D7	20	76	HET	3.2922833	-2.551939
B12	25	200	Null	3.8516815	-3.804838
F12	14	125	Null	0.097152	-3.3099098
E4	23	246	WT	2.682409	-5.787758
C12	20	321	Null	3.1964133	-3.9886231
C11	23	54	Null	2.7282314	-2.954127
E12	20	328	Null	3.9051666	-4.6962047
C6	23	98	HET	4.0586348	-1.2857883
G10	5	72	Null	3.5103698	-0.51882917
G8	17	358	HET	1.9386827	-2.2889748
D9	16	24	Null	2.8002841	-1.431442
F2	22	91	WT	4.4133153	-0.13800445
D3	20	168	WT	1.6046766	-4.342499
E4	22	246	WT	2.787134	-5.6654806
E11	19	59	Null	4.7601223	-2.3327298
C12	19	321	Null	3.4904063	-4.243449
C12	10	321	Null	3.9100742	-3.7985275
E12	5	328	Null	1.3414495	-2.2640142
G5	1	66	HET	2.3346868	-0.0023928736
D4	5	358	WT	1.4413121	-4.8983793
C4	23	127	WT	4.3793516	-4.777274
E4	5	246	WT	1.5683688	-2.3383303
G4	14	388	WT	4.5284486	-4.1795435
G7	15	82	HET	0.6130236	-4.114272
G8	15	358	HET	0.8812186	-3.123245
B4	14	219	WT	1.0089583	-4.71902
D6	5	99	HET	3.831288	0.12434221
B4	19	219	WT	0.7848013	-4.275001
G7	25	82	HET	2.8569756	-1.9877015
G8	24	358	HET	0.36602512	-0.8449633
G11	25	142	Null	3.7247164	-3.7627418
D6	15	99	HET	4.255322	-0.72503793
G4	15	388	WT	4.6846976	-3.1600168
D11	14	100	Null	5.1775966	-2.8203247
E4	4	246	WT	2.5953057	-2.8675635
E9	14	26	Null	2.4859545	-0.6337828
F11	18	100	Null	0.5907241	-1.4641519
E2	5	60	WT	3.9015834	-0.04729007
G6	2	125	HET	4.7226233	-0.5466531
G11	14	142	Null	1.1822802	-4.1011896
D12	4	193	Null	0.82338226	-4.549608
B3	23	77	WT	4.018902	-3.086147
C7	20	54	HET	1.1730763	-1.0264652
E3	19	156	WT	2.3546796	-3.0710337
F12	22	125	Null	3.2767165	-4.6718726
B4	5	219	WT	3.97653	-2.7340453
F4	13	284	WT	1.5243505	-5.3593416
F12	10	125	Null	1.6097853	-1.8647105
C3	10	138	WT	0.78083044	-2.5612557
D4	24	358	WT	1.0713682	-2.7649267
B3	20	77	WT	0.53106946	-4.551485
G7	25	82	HET	2.4580986	-2.3443897
E5	14	53	HET	3.6068857	-1.2904465
C12	19	321	Null	-0.055313513	0.3787527
E3	22	156	WT	5.0317593	-2.357039
B8	25	107	HET	3.3098931	-5.0937605
F3	9	174	WT	3.3978996	-2.7060156
D4	19	358	WT	2.5413294	-3.5044825
G3	17	248	WT	2.1962385	-3.372705
G8	15	358	HET	3.4120686	-6.4573064
C4	19	127	WT	1.9132478	-4.825428
E12	14	328	Null	3.5088873	-5.379229
G7	25	82	HET	4.4850607	-2.5646946
D3	24	168	WT	0.52194756	-3.7750258
E4	20	246	WT	3.984753	-3.0833118
B4	15	219	WT	4.518121	-4.6949286
D12	15	193	Null	4.9831667	-3.4712071
G11	10	142	Null	2.9131598	-2.7938137
E4	23	246	WT	4.0748	-3.7795498
F4	9	284	WT	0.71179414	-4.098933
F10	14	66	Null	0.6011949	0.37926582
E7	20	37	HET	1.5951192	-4.62531
E11	15	59	Null	4.2687316	-3.3145282
C7	24	54	HET	2.2255545	-2.3101606
F12	10	125	Null	2.4305625	-2.4514403
G12	18	187	Null	3.3387363	-3.3913836
G12	15	187	Null	1.847349	-3.686433
G8	19	358	HET	4.41102	-3.3643162
E12	8	328	Null	2.9005527	-5.7456746
C12	18	321	Null	2.9450495	-5.6856475
D12	25	193	Null	4.2124386	-3.832229
D12	25	193	Null	1.1159486	-4.20037
B8	25	107	HET	0.8276783	-1.9218028
F10	21	66	Null	2.6602967	-1.1819961
E4	22	246	WT	0.65986323	-1.786601
D8	14	122	HET	0.15781827	-2.1076581
G8	11	358	HET	0.31190068	-2.0158632
F12	10	125	Null	0.9383424	-4.1578245
B6	7	104	HET	4.6486654	-4.779189
D2	12	44	WT	4.42656	0.18575324
F4	18	284	WT	3.7062325	-5.4412413
E12	10	328	Null	4.1215763	-2.6009142
C12	2	321	Null	1.2500105	-0.98691237
D8	15	122	HET	1.3847876	-4.804967
F12	25	125	Null	2.6593912	-3.3285086
F3	17	174	WT	1.7659874	-3.9715102
E3	10	156	WT	4.754009	-2.3325543
G4	5	388	WT	4.805327	-3.4685106
B6	9	104	HET	0.796923	0.44407356
E6	14	94	HET	4.7249346	0.08037369
G12	8	187	Null	0.38362348	-1.9327458
G6	17	125	HET	3.382752	1.0122374
F11	20	100	Null	1.4536523	-2.915631
B6	1	104	HET	3.3411987	0.3471798
G4	23	388	WT	1.4911287	-1.87569
E12	13	328	Null	3.1262631	-6.0116396
G8	14	358	HET	3.2148166	-5.902549
D4	5	358	WT	2.9631367	-5.296124
C12	5	321	Null	1.6844633	-3.816987
B8	25	107	HET	3.473252	-4.502422
B2	22	55	WT	3.185716	0.96352607
D1	7	47	WT	2.0605464	-1.1711503
G8	25	358	HET	1.0134616	-2.4313884
G1	7	27	WT	3.0962515	0.3501337
G8	14	358	HET	0.4814165	-2.9772868
G2	21	94	WT	2.9086592	0.24443045
E3	20	156	WT	0.025490526	-0.2544105
D4	10	358	WT	4.3536963	-4.11958
G7	20	82	HET	0.43468273	-3.7501035
G12	14	187	Null	0.43081278	-1.6505793
F4	23	284	WT	0.7079752	-5.2694435
B9	17	47	Null	3.889749	-1.6784577
G4	18	388	WT	1.7999882	-3.1884558
D7	15	76	HET	4.71566	-2.3392627
D4	4	358	WT	4.4512105	-4.1301665
B6	23	104	HET	3.9828691	-0.93092006
E2	22	60	WT	2.5111039	-0.35074425
G8	11	358	HET	1.926373	-3.476944
B4	15	219	WT	1.8656852	-5.3019896
B12	19	200	Null	2.0296452	-4.6348977
D11	7	100	Null	0.38654095	-3.8857608
F4	22	284	WT	3.682432	-4.893058
B7	25	33	HET	0.78620327	-1.3922673
G8	21	358	HET	2.4877625	-3.7725332
C7	15	54	HET	4.8474646	-2.8357313
D6	12	99	HET	2.1323922	-0.4736107
C12	12	321	Null	2.7895362	-4.266286
C1	17	33	WT	5.0682073	-2.9678373
B6	7	104	HET	3.4625509	0.59420407
E7	20	37	HET	1.9845291	-2.7335005
G4	10	388	WT	2.3132522	-2.8817782
E2	7	60	WT	1.3298247	0.18892305
B12	25	200	Null	-0.11367977	-0.42275327
E11	15	59	Null	0.24927534	-3.7071278
C10	10	45	Null	3.9097211	-0.24090137
E3	8	156	WT	2.2679353	-2.5958738
D4	24	358	WT	0.9107853	-5.1217575
C7	25	54	HET	2.2638912	-2.2104616
C12	8	321	Null	1.137139	-4.219132
D8	5	122	HET	2.3997543	-3.8821197
E5	9	53	HET	3.3970215	1.1939191
F12	25	125	Null	4.453462	-3.4383547
E3	9	156	WT	0.8115088	-1.7534431
B8	24	107	HET	2.173815	-4.6129208
C5	10	29	HET	2.7896125	-0.29796097
F4	22	284	WT	3.6764228	-3.7808552
B4	25	219	WT	1.9297796	-4.9011474
G12	9	187	Null	0.8200321	-2.5078464
G5	25	66	HET	4.5960717	-0.83596164
B12	18	200	Null	0.3461497	-4.6697493
D10	2	51	Null	2.1871717	-0.29572117
B3	15	77	WT	3.5517092	-2.522589
E2	10	60	WT	3.614177	-0.08334697
B1	15	30	WT	4.470297	0.29952082
C4	23	127	WT	2.6938725	-4.8441405
D4	24	358	WT	0.43704483	-5.0724587
B7	25	33	HET	4.1979876	-2.3496351
E4	4	246	WT	3.5992625	-3.5117428
E6	2	94	HET	2.9316545	-1.0060385
F12	9	125	Null	-1.7243737	-3.6281946
F7	10	40	HET	0.085870996	-4.00838
D4	17	358	WT	1.9072014	-5.3258576
G12	18	187	Null	-0.13688943	-3.0310814
C4	25	127	WT	2.370346	-4.132022
E12	14	328	Null	1.4746982	-2.2275262
C4	23	127	WT	1.7459059	-4.9797225
G3	25	248	WT	0.89037555	-1.2983607
D5	13	39	HET	4.8618183	0.083752654
F5	20	47	HET	2.4491298	-0.297725
B4	14	219	WT	2.1227474	-5.518826
F10	4	66	Null	4.1964297	-0.19480172
C5	14	29	HET	0.72992575	-4.222963
D7	19	76	HET	0.4661256	-3.572035
G11	5	142	Null	2.2643588	-4.5208116
G6	5	125	HET	3.64901	-0.12136185
E7	25	37	HET	2.6417646	-2.0869236
C10	2	45	Null	2.8059573	-0.8006023
D8	25	122	HET	3.137938	-6.0596743
G7	5	82	HET	4.0878506	-3.2225013
E3	24	156	WT	4.775662	-2.671122
F7	25	40	HET	3.8599606	-2.6069086
B4	24	219	WT	1.1968999	-1.7746305
D3	20	168	WT	2.59923	-3.0402396
E4	25	246	WT	3.3405616	-5.8268743
D3	23	168	WT	-0.021188164	-0.29004875
D9	15	24	Null	3.5767798	-0.6325874
C3	18	138	WT	2.4368846	-4.911631
C12	13	321	Null	4.251027	-3.6225111
D3	13	168	WT	0.7913077	-1.7938585
B11	24	53	Null	2.08328	-3.1839488
E6	20	94	HET	4.8119874	-0.28587252
G8	21	358	HET	4.0187736	-2.5118203
G11	10	142	Null	1.3876891	-1.0948659
G5	6	66	HET	3.484189	-0.4830944
G6	24	125	HET	3.4817777	1.1030824
B3	5	77	WT	2.2774518	-4.2910714
D6	2	99	HET	3.8350105	-1.4582407
C7	20	54	HET	5.114816	-2.4167833
B12	25	200	Null	4.5156918	-4.6177244
B2	6	55	WT	4.514957	-0.2837665
G8	19	358	HET	3.8621018	-2.878435
C4	19	127	WT	4.368382	-4.6962395
F11	24	100	Null	1.2608463	-1.5993055
G4	15	388	WT	0.3731176	-5.2398005
G3	6	248	WT	-0.33227798	0.11570014
F11	10	100	Null	2.9272034	-3.9859624
F12	25	125	Null	2.540834	-3.3204725
G10	20	72	Null	3.472221	0.23915742
D4	8	358	WT	2.4963799	-3.877338
F4	23	284	WT	3.7707808	-3.0915844
G8	17	358	HET	0.098312356	-2.246789
D11	10	100	Null	0.32675466	-3.2088382
G4	20	388	WT	4.8894525	-3.5419443
G10	17	72	Null	0.13635515	0.5001425
B6	24	104	HET	4.0993237	-0.19977985
F5	17	47	HET	1.819357	-0.23899242
B8	15	107	HET	4.587159	-2.5422251
G5	8	66	HET	3.268181	-0.0027367126
G7	20	82	HET	1.2229962	-0.7190198
F6	7	117	HET	4.4097996	0.67785484
D4	10	358	WT	3.7818432	-4.3360004
G6	20	125	HET	3.8516028	-0.08676444
D4	9	358	WT	2.7668815	-4.622978
C12	12	321	Null	4.3333907	-3.4326608
B4	20	219	WT	1.4915657	-5.108167
E6	16	94	HET	3.5701575	0.43263617
E4	25	246	WT	2.2532408	-5.7475686
C12	17	321	Null	3.4839084	-3.8801732
C4	20	127	WT	4.390289	-4.7985525
B4	15	219	WT	3.2166905	-3.8180199
B12	14	200	Null	2.863184	-4.0459323
G10	18	72	Null	3.795021	-0.30015936
G8	15	358	HET	1.9673319	-2.3057246
E2	12	60	WT	4.1707563	-1.0520413
E4	20	246	WT	4.708101	-3.5277238
C2	6	42	WT	3.170234	-1.0626515
D7	5	76	HET	0.6802602	-1.2758007
