Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E7	3	56	Null	Plate_1	3.3000789	10.585674
D7	1	26	Null	Plate_1	-0.031011928	8.092686
C7	4	22	Null	Plate_1	0.7583385	10.922572
D7	2	26	Null	Plate_1	0.75889826	9.223072
E7	3	56	Null	Plate_1	3.847768	9.038314
F7	4	69	Null	Plate_1	4.355867	12.810702
F6	2	22	WT	Plate_1	2.1269305	12.477227
F7	4	69	Null	Plate_1	4.7101946	11.258519
F6	1	22	WT	Plate_1	2.709492	12.451948
F7	2	69	Null	Plate_1	5.1512866	10.671121
D7	4	26	Null	Plate_1	0.9579118	8.557025
F7	1	69	Null	Plate_1	5.5117044	10.161396
E6	3	14	WT	Plate_1	1.9729716	11.334644
F6	2	22	WT	Plate_1	2.6957667	12.372311
F7	1	69	Null	Plate_1	4.6616106	9.888124
E7	4	56	Null	Plate_1	4.0444226	10.976351
F7	2	69	Null	Plate_1	3.9290192	12.714576
E7	3	56	Null	Plate_1	3.7982504	10.92401
F7	4	69	Null	Plate_1	4.0440283	12.858835
C6	3	25	WT	Plate_1	0.5681019	9.071838
E7	2	56	Null	Plate_1	4.174511	11.018086
F7	1	69	Null	Plate_1	4.9254975	9.525101
E6	1	14	WT	Plate_1	2.9822915	10.066185
E7	4	56	Null	Plate_1	4.0626755	11.553409
C6	1	25	WT	Plate_1	0.2784893	8.498034
C6	3	25	WT	Plate_1	-0.59171623	9.661536
F7	2	69	Null	Plate_1	4.311798	12.605594
E7	1	56	Null	Plate_1	3.5429714	10.034817
C6	4	25	WT	Plate_1	-0.3572075	9.633928
F6	2	22	WT	Plate_1	3.7913988	12.111919
D7	1	26	Null	Plate_1	0.47902668	8.11068
C7	2	22	Null	Plate_1	-0.17471953	9.754567
E7	1	56	Null	Plate_1	3.5216706	9.611538
E7	4	56	Null	Plate_1	3.5962634	11.737385
E7	3	56	Null	Plate_1	3.5529354	10.809911
E7	3	56	Null	Plate_1	3.2267456	10.743172
E7	1	56	Null	Plate_1	3.7989159	9.845978
F6	4	22	WT	Plate_1	2.4903452	12.560228
D7	3	26	Null	Plate_1	1.4339906	9.5888815
E6	3	14	WT	Plate_1	2.4799075	11.87891
F6	2	22	WT	Plate_1	5.0426364	11.416949
C7	2	22	Null	Plate_1	1.3773909	10.262776
F7	3	69	Null	Plate_1	3.8188426	11.305953
C6	2	25	WT	Plate_1	0.37564135	9.383137
E7	3	56	Null	Plate_1	3.3483684	10.952997
C6	1	25	WT	Plate_1	-0.21989907	8.820155
E7	3	56	Null	Plate_1	3.9317422	8.900105
C6	3	25	WT	Plate_1	-0.19196445	9.199923
E7	3	56	Null	Plate_1	3.155519	10.64585
