Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3	20	D12	Null	623	-2.5891411	-1.5092925
Plate_3	17	D3	WT	305	3.1017773	-1.3392113
Plate_3	13	D12	Null	623	4.9549637	1.028771
Plate_3	24	C12	Null	570	0.9616297	-0.40361196
Plate_5	10	C12	Null	119	3.433599	-1.2910868
Plate_3	1	D3	WT	305	2.0528295	-2.2510748
Plate_3	8	C10	Null	136	1.378459	0.17663161
Plate_3	2	D2	WT	152	2.2034252	-2.050898
Plate_3	25	B10	Null	86	2.1250389	0.88624334
Plate_3_prime	17	E3	WT	156	-0.2760236	2.5107534
Plate_5	4	B11	Null	148	3.0250556	0.1629935
Plate_3	19	B12	Null	531	3.7365904	-0.42542073
Plate_5	13	C11	Null	154	2.6045797	-2.7995446
Plate_3	2	E10	Null	118	2.2512896	-1.4583586
Plate_3	25	C2	WT	175	0.23964168	2.3597114
Plate_3	25	D10	Null	135	-2.361319	-1.518553
Plate_5	21	G2	WT	125	2.9577076	-2.136907
Plate_3_prime	5	D3	WT	168	2.2631733	-2.3994844
Plate_3	10	E12	Null	607	3.5325532	0.13510016
Plate_5	3	D11	Null	178	3.898997	-1.3968487
Plate_5	16	F12	Null	125	0.6756189	0.7803029
Plate_3	5	B3	WT	297	0.35661438	2.227556
Plate_5	3	F1	WT	88	2.919896	1.6019034
Plate_3	18	E10	Null	118	-0.19154567	0.6642952
Plate_5	6	C9	Null	156	1.7905265	2.4282165
Plate_3	3	D2	WT	152	-2.427419	-1.171572
Plate_5	21	B4	WT	112	2.5717335	0.7490155
Plate_3_prime	20	D11	Null	100	-1.0763484	1.518051
Plate_3	19	F12	Null	647	2.3958216	1.8601309
Plate_3	10	C4	WT	666	4.3491874	0.90055597
Plate_3	24	G4	WT	386	0.5283999	1.9695694
Plate_3_prime	14	E12	Null	328	0.66994375	1.2601986
Plate_3_prime	20	C12	Null	321	3.054808	0.25652918
Plate_3	23	F11	Null	329	-2.6489258	0.34450567
Plate_3	14	B3	WT	297	1.7930663	-2.7113948
Plate_5	7	B10	Null	155	2.2392612	1.2145613
Plate_3	9	D4	WT	636	3.0733004	-2.010372
Plate_3	2	F12	Null	647	4.3208213	-0.6721061
Plate_3_prime	12	G4	WT	388	-0.094245225	-1.9907941
Plate_3	25	C2	WT	175	2.414655	-3.684729
Plate_3	17	F4	WT	438	2.5763774	1.3889635
Plate_3	22	B11	Null	279	-2.361863	0.09504859
Plate_3	12	B4	WT	559	1.9383221	0.87698025
Plate_5	5	C3	WT	117	5.6346526	0.922408
Plate_5	21	B9	Null	173	3.4236834	-2.7303739
Plate_3	20	C3	WT	346	1.2769979	1.2913358
Plate_3	20	F10	Null	150	3.5178187	-1.8132849
Plate_3_prime	7	G2	WT	94	0.4589311	2.7765412
Plate_3	11	G3	WT	187	1.6679938	2.2772477
Plate_3_prime	17	C2	WT	42	0.4208188	1.262223
Plate_3_prime	3	F3	WT	174	-0.5841452	1.1605961
Plate_3	12	E12	Null	607	0.89161104	-1.4304423
Plate_5	1	B2	WT	97	2.537267	-1.9457037
Plate_5	1	C4	WT	104	0.90962917	2.4592125
Plate_3	24	D4	WT	636	-2.7345963	-1.4557258
Plate_3_prime	20	B12	Null	200	2.6741736	0.039881352
Plate_3	21	C3	WT	346	2.5694652	0.7283527
Plate_3	8	D4	WT	636	4.42534	0.61226726
Plate_3	7	B12	Null	531	0.8013221	-0.22484994
Plate_5	7	D12	Null	106	2.2482917	-2.1500037
Plate_3	10	D12	Null	623	2.632949	0.15813652
Plate_5	7	E9	Null	120	1.5382739	-1.8018603
Plate_3	11	E12	Null	607	1.853983	1.1125735
Plate_3	1	F4	WT	438	1.0363784	1.6636859
Plate_3	17	D2	WT	152	1.443059	-2.3891132
Plate_3_prime	15	F11	Null	100	2.7451608	-2.2622519
Plate_5	15	G1	WT	72	1.7891436	0.85772926
Plate_5	1	G1	WT	72	-0.80651695	1.655398
Plate_5	16	E1	WT	101	1.8450943	-2.6928723
Plate_3_prime	19	C4	WT	127	2.1979227	-2.592271
Plate_3	9	C1	WT	67	0.09263955	0.7877162
Plate_5	13	D3	WT	128	-2.1615825	-1.967163
Plate_3	3	D12	Null	623	5.6168	0.9869461
Plate_3	18	E12	Null	607	-0.6805362	-0.9199366
Plate_5	12	D11	Null	178	0.9304145	2.1639462
Plate_3	4	C4	WT	666	4.748168	0.8108792
Plate_3	20	C4	WT	666	1.3183637	1.5786754
Plate_3	3	D4	WT	636	3.713338	-1.6990186
Plate_3_prime	2	C12	Null	321	2.8273745	-0.37963724
Plate_3	25	D2	WT	152	1.1907715	1.4067278
