Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E12	13	607	Null	Plate_3	2.560768	4.5541763
B11	9	279	Null	Plate_3	4.544164	4.162107
G12	24	481	Null	Plate_3	5.043538	7.4040794
B12	12	531	Null	Plate_3	5.816194	4.892535
G4	5	386	WT	Plate_3	3.5172465	4.130032
D4	20	636	WT	Plate_3	6.028294	8.338947
F12	11	647	Null	Plate_3	5.7279496	6.3157806
E11	1	331	Null	Plate_3	5.695899	2.7253294
C10	1	136	Null	Plate_3	5.007655	3.6432626
C10	7	136	Null	Plate_3	3.4722939	6.2880535
C11	11	280	Null	Plate_3	6.121577	6.613405
F3	10	185	WT	Plate_3	3.8454924	4.5979853
E12	23	607	Null	Plate_3	7.024985	7.0247884
C4	18	666	WT	Plate_3	3.5324078	5.9485803
B12	18	531	Null	Plate_3	5.9275913	4.454457
G4	20	386	WT	Plate_3	6.698508	6.068951
E3	22	168	WT	Plate_3	4.0650535	3.6274173
C11	4	280	Null	Plate_3	3.1208725	7.3746634
G3	1	187	WT	Plate_3	3.1877778	4.73626
E12	24	607	Null	Plate_3	4.4769998	7.6517053
B10	11	84	Null	Plate_3	4.0039883	4.2915583
C2	19	175	WT	Plate_3	3.8161132	3.848796
G4	1	386	WT	Plate_3	4.573923	1.9330972
C12	2	570	Null	Plate_3	6.5220804	3.1808243
D4	14	636	WT	Plate_3	5.39248	6.557402
G4	19	386	WT	Plate_3	6.9590797	3.2340953
G10	18	117	Null	Plate_3	4.953371	5.378783
C12	12	570	Null	Plate_3	4.849155	1.8706526
B10	11	84	Null	Plate_3	5.0426064	3.1403859
C3	14	344	WT	Plate_3	6.5254283	4.614076
D4	3	636	WT	Plate_3	2.26601	6.0659
C12	19	570	Null	Plate_3	5.5494866	7.0113544
E12	23	607	Null	Plate_3	5.6526613	5.3598423
F10	23	149	Null	Plate_3	3.4516408	5.6824627
F4	17	438	WT	Plate_3	6.149753	3.356333
C4	25	666	WT	Plate_3	5.7443686	7.953059
C2	25	175	WT	Plate_3	5.060255	5.564256
F12	16	647	Null	Plate_3	7.407651	3.8784232
F9	12	66	Null	Plate_3	4.354082	2.1412475
C12	11	570	Null	Plate_3	5.5263224	4.4603014
B3	11	297	WT	Plate_3	4.4859457	1.9458914
E12	17	607	Null	Plate_3	4.82326	5.9450984
B11	21	279	Null	Plate_3	5.6769724	5.1754904
G11	12	250	Null	Plate_3	3.3653803	4.9699864
B12	8	531	Null	Plate_3	6.6734915	4.5050125
C9	11	59	Null	Plate_3	4.850551	2.508646
B9	3	68	Null	Plate_3	3.9349484	3.3233793
C12	13	570	Null	Plate_3	5.8061147	5.3200693
F12	17	647	Null	Plate_3	3.8706152	4.362788
F4	16	438	WT	Plate_3	5.501091	7.024877
B12	15	531	Null	Plate_3	4.0051937	7.50024
C4	5	666	WT	Plate_3	4.395209	7.5739555
G1	4	51	WT	Plate_3	3.6693532	5.2160726
G12	1	481	Null	Plate_3	5.6249747	5.8025846
C12	3	570	Null	Plate_3	6.3833904	6.9035263
F12	6	647	Null	Plate_3	6.9081583	6.6435914
G12	7	481	Null	Plate_3	5.346514	6.082123
E3	14	168	WT	Plate_3	8.063844	1.9689534
D1	8	34	WT	Plate_3	4.6477594	1.9756227
B4	12	559	WT	Plate_3	3.4145105	6.1193347
F12	12	647	Null	Plate_3	7.002296	7.133753
E11	15	331	Null	Plate_3	3.9192917	5.223729
