Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
G1	3	71	WT	Plate_5	13.490608	-7.3114924
D12	13	106	Null	Plate_5	13.1383915	-3.2782705
E11	13	185	Null	Plate_5	13.346866	-4.413084
E9	8	119	Null	Plate_5	11.633687	-5.1054254
B3	14	77	WT	Plate_5	11.296781	-4.5751204
C3	19	117	WT	Plate_5	11.992338	-7.240825
F11	16	135	Null	Plate_5	11.139388	-7.62687
D10	16	157	Null	Plate_5	11.837811	-6.5400066
F4	15	94	WT	Plate_5	11.867913	-5.3286767
E11	1	185	Null	Plate_5	11.08091	-7.319514
D10	7	157	Null	Plate_5	11.004192	-5.0932283
F10	15	152	Null	Plate_5	13.959479	-6.75764
B9	15	173	Null	Plate_5	12.1064625	-7.4629645
B12	14	148	Null	Plate_5	8.735563	-5.173666
C10	3	125	Null	Plate_5	12.007987	-8.253878
D10	1	157	Null	Plate_5	9.352694	-6.246579
E11	10	185	Null	Plate_5	9.050658	-8.5368395
G9	20	149	Null	Plate_5	8.3238125	-5.3704476
D2	3	98	WT	Plate_5	13.5005455	-7.673249
G11	2	127	Null	Plate_5	12.215965	-5.8502383
B9	16	173	Null	Plate_5	13.459452	-7.484632
E10	10	132	Null	Plate_5	11.210823	-7.2211795
G12	10	121	Null	Plate_5	10.476734	-3.6762285
G9	2	149	Null	Plate_5	13.104453	-3.3278399
F11	9	135	Null	Plate_5	12.463469	-6.007948
B4	19	111	WT	Plate_5	10.79896	-7.168787
B1	14	76	WT	Plate_5	11.936983	-4.5042667
F12	18	124	Null	Plate_5	8.797907	-6.758086
D2	16	98	WT	Plate_5	12.8387785	-4.5096183
F3	2	91	WT	Plate_5	13.274058	-4.261844
C10	20	125	Null	Plate_5	9.229483	-5.567499
D3	1	128	WT	Plate_5	13.782843	-4.284939
G9	3	149	Null	Plate_5	8.952017	-6.7231226
F12	13	124	Null	Plate_5	12.708545	-7.086068
C11	17	154	Null	Plate_5	8.69684	-8.050774
G4	19	99	WT	Plate_5	13.238723	-5.036954
F12	19	124	Null	Plate_5	12.597672	-4.624157
F2	13	111	WT	Plate_5	12.245418	-7.7075133
B2	16	97	WT	Plate_5	9.177255	-5.6359496
F11	15	135	Null	Plate_5	13.082618	-5.0054817
F10	13	152	Null	Plate_5	8.096338	-5.229547
E4	5	85	WT	Plate_5	11.239399	-6.3484864
C2	5	136	WT	Plate_5	10.68888	-4.7727213
G12	2	121	Null	Plate_5	10.400078	-4.229417
B10	18	155	Null	Plate_5	11.287497	-5.6730995
F4	14	94	WT	Plate_5	9.756526	-5.6485896
E11	7	185	Null	Plate_5	13.915747	-5.137723
G9	12	149	Null	Plate_5	9.808728	-6.6668844
B12	6	148	Null	Plate_5	9.77453	-8.365077
G2	19	123	WT	Plate_5	11.930507	-3.7106278
E11	8	185	Null	Plate_5	8.653304	-6.9209857
B9	7	173	Null	Plate_5	12.176714	-5.145539
E12	18	115	Null	Plate_5	11.222089	-5.3878345
D12	7	106	Null	Plate_5	11.678424	-3.8343558
C9	12	156	Null	Plate_5	9.370758	-6.424684
D9	20	135	Null	Plate_5	9.6900015	-5.8011565
B1	1	76	WT	Plate_5	10.394885	-7.031851
D11	20	178	Null	Plate_5	13.69675	-4.818305
F11	1	135	Null	Plate_5	10.407513	-4.332757
D3	10	128	WT	Plate_5	9.983947	-7.9046607
E10	17	132	Null	Plate_5	10.41222	-4.3320804
F12	1	124	Null	Plate_5	8.758971	-6.4724574
B9	1	173	Null	Plate_5	12.959449	-6.481177
C11	14	154	Null	Plate_5	10.993364	-9.074925
B11	6	148	Null	Plate_5	10.66682	-7.1752715
G4	7	99	WT	Plate_5	12.077414	-3.3890774
B10	12	155	Null	Plate_5	9.023792	-7.1301003
D10	7	157	Null	Plate_5	12.035699	-7.0214143
D2	20	98	WT	Plate_5	8.519584	-6.682934
F1	3	87	WT	Plate_5	12.307951	-7.630513
D10	19	157	Null	Plate_5	9.848606	-4.031625
C10	13	125	Null	Plate_5	12.471427	-4.8079104
B1	14	76	WT	Plate_5	9.975221	-5.1647024
F3	20	91	WT	Plate_5	8.317712	-7.4316626
F9	13	149	Null	Plate_5	12.708548	-6.451942
C3	5	117	WT	Plate_5	11.338387	-6.319125
B12	12	148	Null	Plate_5	13.55404	-7.1807857
E11	14	185	Null	Plate_5	14.082825	-6.935632
B1	7	76	WT	Plate_5	10.37653	-6.096646
E3	10	120	WT	Plate_5	13.235595	-4.2684317
F4	18	94	WT	Plate_5	10.563768	-7.6809454
G12	11	121	Null	Plate_5	10.999691	-7.4604073
C9	17	156	Null	Plate_5	9.81776	-7.0329595
C12	14	119	Null	Plate_5	13.060773	-7.6231494
F4	18	94	WT	Plate_5	8.811247	-7.832652
F10	7	152	Null	Plate_5	9.528878	-5.471099
E4	21	85	WT	Plate_5	11.714324	-8.302094
F10	14	152	Null	Plate_5	9.467778	-7.3855405
