Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E7	9	194	WT	Plate_6_filtered	4.529125	4.3037715
E9	1	251	WT	Plate_6_filtered	5.4204907	7.7406716
E6	29	144	WT	Plate_6_filtered	4.9863243	5.9997697
E10	14	224	WT	Plate_6_filtered	3.2860653	4.628313
D7	7	68	Null	Plate_6_filtered	9.637268	3.2946522
G10	34	88	Null	Plate_6_filtered	6.387419	6.230825
G11	7	114	Null	Plate_6_filtered	6.0714645	5.529744
G11	20	114	Null	Plate_6_filtered	4.699238	1.5578859
G6	21	133	Null	Plate_6_filtered	4.239071	6.2537346
E11	14	232	WT	Plate_6_filtered	3.915	2.5434113
G4	18	109	Null	Plate_6_filtered	4.053006	2.6870883
E7	27	194	WT	Plate_6_filtered	4.01157	3.6640277
B6	3	93	WT	Plate_6_filtered	9.193251	4.5758915
B10	22	124	WT	Plate_6_filtered	10.138513	5.8024774
E5	1	172	WT	Plate_6_filtered	4.157288	5.4730244
G6	24	133	Null	Plate_6_filtered	4.8965106	2.41426
E9	21	251	WT	Plate_6_filtered	6.0766478	4.191678
D8	18	62	Null	Plate_6_filtered	10.3719425	4.417501
G7	24	128	Null	Plate_6_filtered	6.791203	7.234321
G2	35	114	Null	Plate_6_filtered	6.2924504	4.5145326
B7	21	102	WT	Plate_6_filtered	8.946946	4.827792
D7	33	68	Null	Plate_6_filtered	8.203479	6.0832253
E7	20	194	WT	Plate_6_filtered	5.0849857	3.7583332
G2	23	114	Null	Plate_6_filtered	3.5061903	5.371121
E8	11	215	WT	Plate_6_filtered	6.78083	6.178253
B8	28	92	WT	Plate_6_filtered	10.0794525	4.684176
E8	19	215	WT	Plate_6_filtered	5.0787773	6.34679
G8	8	132	Null	Plate_6_filtered	6.4901786	8.340001
D2	33	53	Null	Plate_6_filtered	6.4080973	4.4918265
D9	6	74	Null	Plate_6_filtered	10.0229435	4.794116
B4	9	88	WT	Plate_6_filtered	8.867896	4.2564173
B8	34	92	WT	Plate_6_filtered	10.280699	3.360675
E8	4	215	WT	Plate_6_filtered	6.290037	3.6749542
G11	16	114	Null	Plate_6_filtered	6.877251	7.5543
E10	27	224	WT	Plate_6_filtered	3.8231795	2.58109
B3	20	116	WT	Plate_6_filtered	9.332378	5.109628
B5	25	91	WT	Plate_6_filtered	8.738469	3.4254708
G9	6	87	Null	Plate_6_filtered	4.073698	4.773064
B9	28	135	WT	Plate_6_filtered	10.848045	5.17537
D8	16	62	Null	Plate_6_filtered	8.872161	5.6237254
E6	18	144	WT	Plate_6_filtered	5.22666	8.038767
E10	9	224	WT	Plate_6_filtered	4.759952	3.657345
D10	23	59	Null	Plate_6_filtered	9.222176	5.1340933
E10	15	224	WT	Plate_6_filtered	5.941789	6.1728077
E8	22	215	WT	Plate_6_filtered	4.73616	3.0689435
E9	9	251	WT	Plate_6_filtered	5.8052125	3.7516768
D11	20	67	Null	Plate_6_filtered	8.119758	5.008076
G11	30	114	Null	Plate_6_filtered	5.543042	3.2660353
B8	21	92	WT	Plate_6_filtered	10.313343	5.5081477
B5	1	91	WT	Plate_6_filtered	9.436649	3.1667557
E2	7	141	WT	Plate_6_filtered	3.5016494	3.1923256
B7	21	102	WT	Plate_6_filtered	10.001603	5.667261
B9	33	135	WT	Plate_6_filtered	9.835831	4.034756
G3	34	123	Null	Plate_6_filtered	6.030898	8.284459
E7	15	194	WT	Plate_6_filtered	6.1350355	3.9326913
E6	6	144	WT	Plate_6_filtered	6.024616	6.443959
B2	7	129	WT	Plate_6_filtered	10.02497	4.6775494
G6	5	133	Null	Plate_6_filtered	5.7761235	4.059561
E3	20	161	WT	Plate_6_filtered	4.1497817	2.1992881
G5	14	131	Null	Plate_6_filtered	4.284546	3.223744
E9	15	251	WT	Plate_6_filtered	6.2714314	4.2192883
E4	2	131	WT	Plate_6_filtered	5.320376	5.2970176
E5	26	172	WT	Plate_6_filtered	4.9603615	2.478448
G2	22	114	Null	Plate_6_filtered	5.9554186	7.584624
E6	20	144	WT	Plate_6_filtered	4.984056	7.7451124
B8	28	92	WT	Plate_6_filtered	9.461269	3.451849
E7	26	194	WT	Plate_6_filtered	5.0423317	1.9702036
E6	11	144	WT	Plate_6_filtered	5.2327414	7.658698
E5	24	172	WT	Plate_6_filtered	5.7135253	6.0054483
G7	31	128	Null	Plate_6_filtered	5.842432	6.594555
E6	11	144	WT	Plate_6_filtered	4.2514873	4.0439744
E3	18	161	WT	Plate_6_filtered	4.577412	4.796771
G3	35	123	Null	Plate_6_filtered	5.358883	3.9347582
E5	32	172	WT	Plate_6_filtered	4.0287	3.2701094
E8	36	215	WT	Plate_6_filtered	5.335583	3.9700382
G7	32	128	Null	Plate_6_filtered	5.881377	3.256177
E9	17	251	WT	Plate_6_filtered	5.4614506	5.9994555
E2	19	141	WT	Plate_6_filtered	5.450869	4.3604236
E7	12	194	WT	Plate_6_filtered	3.688581	5.6179085
E10	17	224	WT	Plate_6_filtered	6.089851	6.309065
G6	20	133	Null	Plate_6_filtered	5.2262077	4.1398845
E7	29	194	WT	Plate_6_filtered	6.7560463	6.0874786
G9	8	87	Null	Plate_6_filtered	4.1313586	2.7029893
D11	36	67	Null	Plate_6_filtered	9.584496	3.85386
E10	26	224	WT	Plate_6_filtered	3.9494874	6.5706506
D11	22	67	Null	Plate_6_filtered	10.562101	3.7842915
G7	4	128	Null	Plate_6_filtered	4.398293	2.6561935
E8	20	215	WT	Plate_6_filtered	5.4755125	3.4875312
D9	18	74	Null	Plate_6_filtered	10.646172	4.6870465
G9	35	87	Null	Plate_6_filtered	5.239628	4.5087743
G3	29	123	Null	Plate_6_filtered	4.6251144	3.383836
E4	14	131	WT	Plate_6_filtered	5.646778	6.1766443
B10	15	124	WT	Plate_6_filtered	9.068821	5.797524
B3	4	116	WT	Plate_6_filtered	9.32161	3.3344038
E8	6	215	WT	Plate_6_filtered	5.7768674	7.0223656
E11	6	232	WT	Plate_6_filtered	4.3903117	5.3699255
E9	26	251	WT	Plate_6_filtered	5.9861655	4.650963
E3	14	161	WT	Plate_6_filtered	3.5872602	3.5114605
G7	33	128	Null	Plate_6_filtered	7.269149	6.563831
G3	23	123	Null	Plate_6_filtered	5.475435	2.5996144
E7	16	194	WT	Plate_6_filtered	4.923115	7.81857
E4	10	131	WT	Plate_6_filtered	3.4273264	3.1693401
E9	12	251	WT	Plate_6_filtered	6.2614007	7.233526
E11	34	232	WT	Plate_6_filtered	5.2082644	6.6599746
G3	11	123	Null	Plate_6_filtered	6.6649017	6.4320846
G11	36	114	Null	Plate_6_filtered	6.215582	3.8657818
E6	24	144	WT	Plate_6_filtered	7.1349545	6.7111664
E7	3	194	WT	Plate_6_filtered	5.8988175	3.409668
E4	28	131	WT	Plate_6_filtered	3.7094085	3.2443426
G6	20	133	Null	Plate_6_filtered	4.186809	2.9971113
B2	9	129	WT	Plate_6_filtered	9.495263	3.8906615
B10	10	124	WT	Plate_6_filtered	9.901104	5.401671
E9	27	251	WT	Plate_6_filtered	5.6687098	4.8371663
B7	27	102	WT	Plate_6_filtered	9.793651	5.3381047
E11	11	232	WT	Plate_6_filtered	6.3603497	7.8508677
G7	4	128	Null	Plate_6_filtered	6.5203705	7.8420525
G9	21	87	Null	Plate_6_filtered	6.603313	5.404029
G2	21	114	Null	Plate_6_filtered	4.5950356	5.685034
E8	9	215	WT	Plate_6_filtered	6.693835	5.204508
B9	24	135	WT	Plate_6_filtered	8.803566	3.1561565
E2	18	141	WT	Plate_6_filtered	5.077757	8.271673
E3	28	161	WT	Plate_6_filtered	4.08266	4.9508686
B11	30	122	WT	Plate_6_filtered	10.258633	4.6051497
B10	15	124	WT	Plate_6_filtered	9.916822	5.9394937
D10	21	59	Null	Plate_6_filtered	10.152072	4.3034525
E9	16	251	WT	Plate_6_filtered	6.7687416	7.735801
B3	18	116	WT	Plate_6_filtered	10.371351	5.03858
B5	16	91	WT	Plate_6_filtered	8.750859	5.8477163
D8	21	62	Null	Plate_6_filtered	10.64927	4.637891
E7	2	194	WT	Plate_6_filtered	5.73774	5.2972608
D8	11	62	Null	Plate_6_filtered	10.031528	4.0009317
E10	21	224	WT	Plate_6_filtered	4.012127	4.954015
E3	7	161	WT	Plate_6_filtered	4.1425548	5.0829043
G8	21	132	Null	Plate_6_filtered	6.7308207	7.4769626
D3	29	55	Null	Plate_6_filtered	9.298935	3.436253
B3	18	116	WT	Plate_6_filtered	8.241398	4.357
E10	16	224	WT	Plate_6_filtered	4.63798	4.792061
G8	30	132	Null	Plate_6_filtered	5.795492	2.619243
