Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_5	18	G3	WT	121	2.5950124	1.8122549
Plate_3	25	E11	Null	331	1.891539	1.5479952
Plate_3_prime	20	D4	WT	358	1.611835	2.8812768
Plate_3_prime	22	F12	Null	125	-2.546743	0.8768103
Plate_5	4	C9	Null	156	-0.31484935	-0.9653979
Plate_5	10	B2	WT	97	-3.3724406	1.3292395
Plate_5	7	G3	WT	121	0.24709	0.11506931
Plate_3_prime	25	B3	WT	76	-0.71888345	1.3323237
Plate_3	13	B11	Null	279	0.35374793	0.9304507
Plate_5	11	C12	Null	119	2.0413833	3.3387086
Plate_3_prime	20	G12	Null	187	1.2144784	2.5447912
Plate_3	8	E10	Null	117	-3.032367	0.027286163
Plate_3	9	C3	WT	344	0.99368966	2.64588
Plate_3	7	C12	Null	570	-0.33994183	2.8550496
Plate_3	17	F12	Null	647	3.2742674	0.56208646
Plate_3_prime	17	E12	Null	328	5.555083	0.14736567
Plate_3	12	G3	WT	187	1.4777756	1.5150095
Plate_5	13	D12	Null	106	-3.0053313	0.072746135
Plate_3_prime	25	B4	WT	219	-0.42532346	1.8146945
Plate_3	12	F4	WT	438	-1.4344324	-0.19020905
Plate_3	17	B12	Null	531	0.9790376	0.2873186
Plate_3_prime	18	G10	Null	72	-0.86490434	-0.4784524
Plate_3_prime	8	G1	WT	20	-0.678836	3.6836352
Plate_3	25	C1	WT	64	-1.5921535	-0.46271873
Plate_3	13	B4	WT	559	0.4429582	-3.7254906
Plate_3	23	C3	WT	344	1.4421774	1.7668433
Plate_3	21	B4	WT	559	1.5958805	3.7604854
Plate_5	7	C9	Null	156	-0.63568634	-1.2443011
Plate_3_prime	10	F4	WT	284	0.5864563	1.5229464
Plate_3	15	G4	WT	386	0.48667553	-0.4913598
Plate_3	12	G12	Null	481	-1.1931003	0.11655312
Plate_3	9	F11	Null	329	0.77424407	1.5014695
Plate_3_prime	10	G12	Null	187	-0.17476133	-0.7534443
Plate_3_prime	15	E4	WT	246	0.0038490738	0.99538267
Plate_3_prime	25	E4	WT	246	-2.7188468	2.1299942
Plate_3	19	D4	WT	636	0.2824104	1.3993548
Plate_3	18	C3	WT	344	0.702078	1.6785666
Plate_3_prime	19	G3	WT	248	-2.2896905	2.7658887
Plate_3	3	C3	WT	344	2.0578902	3.1615915
Plate_3_prime	5	D4	WT	358	3.6617088	1.1110599
Plate_5	16	D10	Null	157	-2.0781574	0.60080963
Plate_5	1	C4	WT	103	-0.35815388	2.795519
Plate_3	1	E12	Null	607	-0.94904554	2.7511213
Plate_3_prime	16	G3	WT	248	0.9701066	4.04276
Plate_5	11	B10	Null	155	0.4762895	0.46481773
Plate_3	6	C11	Null	280	-1.268578	-0.93336403
Plate_3	21	G10	Null	117	-2.6343327	0.786278
Plate_3_prime	3	C12	Null	321	1.4479973	3.434176
Plate_3	15	D4	WT	636	-2.2289982	0.26330915
Plate_5	8	B10	Null	155	-2.2910864	0.18858153
Plate_3_prime	13	D10	Null	50	0.2091416	-0.7197084
Plate_3	7	F12	Null	647	0.2012749	3.0993905
Plate_3	3	C4	WT	666	-2.5080574	0.19647916
Plate_5	4	E1	WT	100	0.86527646	1.2666035
Plate_3	18	F12	Null	647	1.6745911	1.6543893
Plate_3	13	D10	Null	134	0.44953775	3.3656666
Plate_3	11	E11	Null	331	1.366534	3.330108
Plate_3	16	E4	WT	22	2.9411018	5.202856
Plate_3	25	B3	WT	297	1.3349245	2.0918686
Plate_5	13	F2	WT	111	-0.3356586	0.7687559
Plate_3_prime	20	G12	Null	187	1.5082636	0.4444725
Plate_5	14	C9	Null	156	-0.79944354	2.4361844
Plate_3_prime	15	G4	WT	388	-1.7565627	0.042573407
Plate_3_prime	25	D2	WT	42	0.071127675	1.5528543
Plate_3	7	F11	Null	329	-0.15277933	-0.8885924
Plate_3	12	E12	Null	607	1.556325	3.5239792
Plate_3	19	E11	Null	331	0.37437826	-1.0028539
Plate_5	7	D2	WT	98	-1.970137	1.8158582
Plate_3	21	D3	WT	305	-1.538454	0.45980412
Plate_3	19	F12	Null	647	2.023182	1.6681708
Plate_3_prime	23	B11	Null	53	1.6920252	1.6774877
Plate_3_prime	6	G4	WT	388	1.0141113	-1.7291822
Plate_5	3	E3	WT	120	-1.3988241	-0.40416396
Plate_5	19	E12	Null	115	-0.9972794	0.32781965
Plate_3_prime	7	F11	Null	100	-1.2001504	4.251456
Plate_5	14	E10	Null	132	0.026856706	2.8529725
Plate_3	10	F4	WT	438	-2.2227612	1.4922308
Plate_3	6	F12	Null	647	1.4627621	-0.42458913
Plate_5	4	E2	WT	102	0.7082817	0.6738375
Plate_3_prime	25	F3	WT	174	-0.17745753	-2.0859244
Plate_3_prime	20	C4	WT	127	-1.465594	0.29735702
Plate_3_prime	20	G12	Null	187	-1.7019773	1.1258515
Plate_3	23	C12	Null	570	1.8442802	1.7148
Plate_3	23	C4	WT	666	2.2423341	0.53913766
Plate_5	14	F12	Null	124	0.64746785	0.14076002
Plate_3_prime	24	G12	Null	187	1.987519	1.2406584
Plate_3	17	D3	WT	305	-1.072998	0.65975183
Plate_3_prime	20	D12	Null	193	1.3091832	2.2843943
Plate_3_prime	5	D12	Null	193	2.3378704	2.5963058
Plate_3	25	B12	Null	531	-1.5662141	0.11924564
Plate_3	25	C12	Null	570	-1.6700865	1.077788
Plate_3_prime	20	C4	WT	127	0.6250103	1.8568825
Plate_3	25	B11	Null	279	1.3636727	1.3494602
Plate_3_prime	25	C12	Null	321	2.2296903	1.3320384
Plate_3	11	B12	Null	531	0.31699637	-1.1612654
Plate_3_prime	12	E3	WT	155	-1.203806	0.28417212
Plate_3	3	D12	Null	623	-0.89184874	0.49397358
Plate_3_prime	15	G11	Null	142	1.9919784	2.575995
Plate_3_prime	23	E12	Null	328	-1.6669425	0.20637403
Plate_3	6	G4	WT	386	-1.1972979	3.7021377
Plate_3_prime	13	F11	Null	100	0.3406207	-2.4329436
Plate_5	14	F2	WT	111	-2.194082	2.6856718
Plate_3_prime	9	E12	Null	328	1.142828	3.7557
Plate_5	5	C9	Null	156	-3.12685	0.6321451
Plate_3	12	D12	Null	623	-0.049623758	-1.5359225
Plate_3_prime	25	D3	WT	168	0.40901425	4.106236
Plate_3	9	C12	Null	570	-0.77448213	0.5377973
Plate_3	20	D12	Null	623	0.6928965	0.5244255
Plate_5	18	G10	Null	128	-1.8333263	2.0707679
Plate_3	19	B4	WT	559	2.6561635	1.2212555
Plate_5	1	B10	Null	155	-1.3773223	0.88824236
Plate_3	20	G12	Null	481	0.5840348	2.832879
Plate_3	19	C3	WT	344	-2.6994245	0.23051617
Plate_3	19	E12	Null	607	0.48979843	1.6189572
Plate_5	2	G3	WT	121	-2.0984643	1.8271602
Plate_3_prime	10	G3	WT	248	0.35537454	0.033853933
Plate_3	14	F11	Null	329	2.195304	6.142174
Plate_3_prime	20	B12	Null	200	-2.7294638	-0.019476717
Plate_3	15	F1	WT	39	-2.8297334	0.14048235
Plate_3	16	B11	Null	279	0.9509712	-1.3552387
Plate_3	23	F12	Null	647	1.1883527	1.85137
Plate_3	15	B12	Null	531	1.2733881	0.97299194
Plate_3	15	G4	WT	386	0.06020325	-0.47966865
Plate_3	20	G3	WT	187	1.6757462	2.2180386
Plate_3	16	B11	Null	279	-1.3154961	3.1520863
Plate_3_prime	22	C3	WT	137	-1.5239564	1.399684
Plate_3	23	F11	Null	329	0.39941877	-1.9535418
Plate_3	7	C10	Null	136	-1.9629803	2.278795
Plate_3	18	D11	Null	216	-2.3597183	-0.6603586
Plate_5	8	G11	Null	127	-0.6065613	-2.2207403
Plate_5	4	G1	WT	71	-0.78231984	3.937899
Plate_3	20	F12	Null	647	0.68993527	1.5888913
Plate_3_prime	20	E4	WT	246	0.9772647	3.329128
Plate_5	12	C9	Null	156	-0.8556119	0.96125287
Plate_3	13	G11	Null	250	0.4283476	1.4749724
Plate_5	20	G12	Null	121	-1.1006274	-0.6851684
Plate_3	8	B4	WT	559	-2.448126	1.392289
Plate_3	2	C2	WT	175	-2.6182833	1.2438303
Plate_5	11	B10	Null	155	-1.8680263	0.824528
Plate_5	17	G4	WT	99	-0.0903427	0.30129024
Plate_5	1	D1	WT	91	0.9992642	2.2668345
Plate_3_prime	23	E4	WT	246	0.48991844	3.048487
Plate_3_prime	14	G4	WT	388	2.1058407	0.63963115
Plate_5	12	B12	Null	148	-2.4607537	0.31427333
Plate_3	8	B12	Null	531	0.23182322	-1.5320231
Plate_5	5	F9	Null	149	-1.15372	-0.28466153
Plate_3_prime	9	C4	WT	127	0.9522751	3.8607702
Plate_5	5	D11	Null	178	0.26256332	0.24668658
Plate_3_prime	9	C4	WT	127	0.2684514	3.1955748
Plate_3	13	B2	WT	139	-0.5205731	0.4341364
Plate_3_prime	3	E12	Null	328	0.4148609	1.863403
Plate_3	9	D12	Null	623	0.48214945	0.86670387
Plate_3_prime	24	C4	WT	127	-1.083277	1.7394059
Plate_3_prime	19	E4	WT	246	0.98684794	3.048974
Plate_3_prime	19	C12	Null	321	-0.112197146	-0.42004594
Plate_3_prime	9	B12	Null	200	2.4348109	2.2172568
Plate_3_prime	24	C10	Null	44	0.4926051	1.3370508
Plate_5	14	G2	WT	123	1.4178965	2.0603771
Plate_3	1	B9	Null	68	1.150698	1.5566145
Plate_3	5	E12	Null	607	1.9478407	1.246187
Plate_5	8	E12	Null	115	-1.11492	1.4520701
Plate_3_prime	5	F11	Null	100	-0.69745004	3.7740734
Plate_5	4	G4	WT	99	-3.344677	2.2794285
Plate_3_prime	15	F4	WT	284	-0.8010998	2.4459171
Plate_3	16	D1	WT	34	-2.3925977	3.679823
Plate_3	4	C4	WT	666	1.0666083	-0.13173161
Plate_3	9	E3	WT	168	0.09340208	-0.38972273
Plate_3_prime	12	G3	WT	248	-1.9879642	-0.080192134
Plate_3	20	G4	WT	386	-0.6277876	1.3854533
Plate_5	9	C3	WT	117	-2.352271	-0.1285889
Plate_3_prime	15	B12	Null	200	2.2059102	0.5292792
Plate_3	14	F11	Null	329	1.0498128	3.0531435
Plate_5	3	G1	WT	71	-1.3953388	0.3480127
Plate_3	2	B3	WT	297	1.8778582	2.4281642
Plate_3	4	G12	Null	481	1.8108426	-0.7936207
Plate_3	25	D3	WT	305	3.092571	1.0116647
Plate_5	14	G10	Null	128	-2.6986287	2.9295232
Plate_5	12	D3	WT	128	0.61745244	1.9470242
Plate_3_prime	4	B4	WT	219	0.19596714	-1.3995323
Plate_5	9	C2	WT	136	0.6792456	2.4036725
Plate_3_prime	24	D3	WT	168	1.2147864	0.80446565
Plate_3	18	B11	Null	279	-0.17068854	0.4004839
Plate_5	8	G11	Null	127	-0.7691575	-0.18009913
Plate_3	6	B4	WT	559	0.5378801	-0.970402
Plate_5	12	F3	WT	91	-0.34060177	0.8376505
Plate_5	4	G12	Null	121	-1.2685139	1.1487385
Plate_3	7	D3	WT	305	0.16371633	2.6942513
Plate_3	12	B12	Null	531	2.0989168	3.160005
Plate_5	7	D10	Null	157	0.5041725	1.2264087
Plate_3_prime	4	G10	Null	72	-0.98311925	-0.57464033
Plate_3	23	G4	WT	386	-0.3603442	-0.9503435
Plate_3_prime	24	E4	WT	246	-0.13607374	0.5672454
Plate_3_prime	18	C11	Null	54	0.5723449	0.013960479
Plate_3	12	D4	WT	636	1.5635946	2.7669852
Plate_5	12	B12	Null	148	1.1803814	2.9162388
Plate_3	21	F9	Null	66	-3.2990456	2.9884357
Plate_5	19	B12	Null	148	-0.82196975	0.8102997
Plate_3_prime	20	C11	Null	54	-2.3395584	-0.7402956
Plate_3	21	E12	Null	607	2.1634364	0.90380275
Plate_5	1	C2	WT	136	0.72477925	-3.5232158
Plate_3_prime	19	B12	Null	200	2.9060893	1.3058923
Plate_3	13	C2	WT	175	-0.95557	1.9114648
Plate_3	7	B4	WT	559	2.0495236	1.7507755
Plate_3	13	E12	Null	607	-0.63194495	-0.68724823
Plate_3	3	D12	Null	623	-0.8478606	0.96015465
Plate_3	12	D3	WT	305	1.3788394	1.9838382
Plate_3_prime	8	B9	Null	43	0.9277389	-1.3484067
Plate_5	4	B9	Null	173	-2.6838698	1.5409498
Plate_5	16	B4	WT	111	-1.0797453	-0.31287706
Plate_5	20	D10	Null	157	-0.050877336	3.5734584
Plate_5	6	E11	Null	185	-0.8439955	-1.794133
Plate_3_prime	13	D11	Null	100	-1.9021239	-0.930115
Plate_3_prime	23	C12	Null	321	-1.5859131	1.7415354
Plate_3	2	G4	WT	386	0.29873702	-0.7809764
Plate_5	6	B9	Null	173	0.52625346	-3.1663454
Plate_3	2	C4	WT	666	-0.84992546	0.2030506
Plate_3_prime	5	C12	Null	321	-1.5022354	-0.43903285
Plate_3	14	G11	Null	250	0.4590827	1.0658095
Plate_3_prime	17	G4	WT	388	5.195333	0.28536537
Plate_3_prime	12	D4	WT	358	-2.653494	1.2170815
Plate_3	22	D11	Null	216	1.7822978	1.4628619
Plate_3	20	C10	Null	136	-0.0016529474	0.32377452
Plate_3_prime	5	B4	WT	219	-0.67803144	-0.31856325
Plate_3	22	F12	Null	647	-0.05733375	0.7360183
Plate_3_prime	17	E3	WT	155	-1.0889834	2.6613853
Plate_5	14	B11	Null	148	0.5457133	-2.8100898
Plate_3	24	C11	Null	280	0.46958783	1.6082593
Plate_3_prime	10	C12	Null	321	1.4645747	2.1149564
Plate_3	2	F12	Null	647	3.7327216	0.9910707
Plate_3_prime	1	G2	WT	94	-0.48123413	2.7866678
Plate_5	2	B11	Null	148	-1.0538692	0.8393635
Plate_3_prime	10	D3	WT	168	-2.9528844	1.2726285
Plate_3_prime	25	D12	Null	193	-0.9794849	1.8180782
Plate_3	21	F11	Null	329	1.2999097	2.8631978
Plate_3	1	D12	Null	623	1.663905	0.91298306
Plate_3_prime	11	E1	WT	17	-1.164082	3.172081
Plate_3_prime	18	G4	WT	388	-2.019949	0.9159429
Plate_3_prime	4	D12	Null	193	-1.5486709	1.866251
Plate_3	9	E12	Null	607	2.106477	2.818947
Plate_3	12	E12	Null	607	1.0399425	0.65133184
Plate_3	20	D4	WT	636	2.6895974	1.2533597
Plate_5	9	D9	Null	135	-2.901437	1.164853
Plate_3	6	B12	Null	531	-2.0143452	1.4342681
Plate_3_prime	23	G12	Null	187	0.5631882	-1.1693041
Plate_5	20	C11	Null	154	-2.0421288	0.004582642
Plate_3	23	C4	WT	666	3.5634058	0.8624681
Plate_3_prime	10	E2	WT	59	-1.3560709	-0.4244608
Plate_3	25	B3	WT	297	1.0243495	2.240354
Plate_3_prime	18	C3	WT	137	-1.9775661	1.0027224
Plate_3	24	D12	Null	623	-0.019165227	0.6174787
Plate_3	6	D12	Null	623	-1.6706638	0.42839405
Plate_5	9	C2	WT	136	-0.24693918	3.4957454
Plate_5	15	E11	Null	185	-2.9985049	0.11734313
Plate_3	24	D12	Null	623	2.1771102	2.7162576
Plate_3_prime	10	D4	WT	358	1.7885138	2.2136252
Plate_5	8	F12	Null	124	-0.68872756	0.6744991
Plate_3_prime	5	F3	WT	174	1.8215392	2.8966231
Plate_3	17	E11	Null	331	0.2114607	3.4874644
Plate_3	5	C4	WT	666	2.672733	1.292385
Plate_3_prime	15	B12	Null	200	2.6082375	1.3553172
Plate_3	19	C12	Null	570	-0.4371631	1.2503948
Plate_5	11	D3	WT	128	-2.028205	0.18705566
Plate_3	7	C4	WT	666	1.5198693	-0.016092392
Plate_5	19	D10	Null	157	-1.6890029	-0.8743616
Plate_3	12	D2	WT	151	1.1435025	1.0241598
Plate_3_prime	13	B4	WT	219	-1.8478006	2.096094
Plate_3	11	F11	Null	329	-2.6213498	3.011564
Plate_3	25	C1	WT	64	0.68480295	-0.24333593
Plate_5	11	B9	Null	173	0.79559034	4.1673374
Plate_3_prime	10	D4	WT	358	2.1805372	2.434594
Plate_3	19	G11	Null	250	0.7539325	2.4297342
Plate_3_prime	16	E1	WT	17	-1.6115348	2.0539203
Plate_5	4	F4	WT	94	-1.1142343	3.502478
Plate_3	10	E1	WT	51	-1.715045	0.2914374
Plate_3	13	E12	Null	607	0.7008114	2.8916836
Plate_5	14	G2	WT	123	0.16894442	0.4629979
Plate_3	19	D12	Null	623	0.77127063	-0.85042965
Plate_3	19	G12	Null	481	2.1863563	1.1475276
Plate_3_prime	11	B9	Null	43	1.1228136	0.58823234
Plate_3_prime	18	D4	WT	358	-0.3429037	-0.14731896
Plate_3	23	D4	WT	636	0.95257235	1.377124
Plate_3	16	D2	WT	151	-0.24017487	-1.5079094
Plate_3	2	G12	Null	481	0.43640706	3.3607445
Plate_3	17	F11	Null	329	-0.8729826	0.3819744
Plate_3_prime	23	G11	Null	142	1.450332	3.5042467
Plate_5	4	B12	Null	148	-3.195162	2.6529384
Plate_3	10	C3	WT	344	-0.8365491	-1.8934162
Plate_5	17	E4	WT	85	0.6618326	1.3561572
Plate_3_prime	19	F4	WT	284	-1.1823014	0.966327
Plate_5	7	C10	Null	125	-0.7979632	1.5851668
Plate_3	7	D11	Null	216	1.0018961	-1.492169
Plate_3	11	C10	Null	136	-1.338439	-1.5535762
Plate_5	1	G10	Null	128	-3.0862086	1.9734199
Plate_5	3	B9	Null	173	1.3480686	0.55559033
Plate_3	21	E12	Null	607	1.4823139	-0.3765631
Plate_3	25	B2	WT	139	1.7795528	2.4832902
Plate_3_prime	10	D11	Null	100	2.1875691	2.1968462
Plate_3	7	F12	Null	647	0.97991264	1.4738172
Plate_5	10	G4	WT	99	0.8037238	3.25474
Plate_3	22	E11	Null	331	-1.4662844	3.3801367
Plate_3	8	D4	WT	636	1.4191536	0.1770926
Plate_3	23	E12	Null	607	2.1651323	0.39800158
Plate_3_prime	24	G10	Null	72	0.10729327	4.096074
Plate_3	16	B4	WT	559	1.7657669	2.2159762
Plate_3_prime	23	D12	Null	193	2.1579053	2.1001673
Plate_3_prime	19	B12	Null	200	-1.3417498	-0.27449697
Plate_5	21	F12	Null	124	0.15479201	0.5175237
Plate_5	18	D2	WT	98	-0.7242465	3.8799107
Plate_3_prime	1	C1	WT	28	0.29049665	4.143506
Plate_5	20	D11	Null	178	0.2820462	-1.1639202
Plate_3	12	C2	WT	175	1.4075415	2.8459423
Plate_3_prime	4	B11	Null	53	-0.007176487	1.8875922
Plate_3_prime	24	F11	Null	100	0.8313798	-1.9694782
Plate_3	16	C12	Null	570	0.5227665	-0.8756461
Plate_5	17	C12	Null	119	0.6772182	1.6543701
Plate_5	2	D10	Null	157	1.7576914	2.8349779
Plate_3	8	B4	WT	559	0.86655134	-2.3288898
Plate_3	23	C4	WT	666	0.42604223	0.967481
Plate_3	13	G3	WT	187	-1.0926709	1.4114331
Plate_5	12	B9	Null	173	2.1025815	2.3694537
Plate_3_prime	20	B4	WT	219	0.99476033	-2.02841
Plate_3	5	G11	Null	250	1.8922162	2.0292127
Plate_3	4	E10	Null	117	1.0568314	3.7112408
Plate_3	16	B4	WT	559	0.7833473	4.063908
Plate_3	3	B12	Null	531	1.9902238	0.71590865
Plate_5	10	F11	Null	135	-3.1332095	3.2729392
Plate_3_prime	10	C11	Null	54	0.77041465	4.200409
Plate_3	11	C4	WT	666	0.020609623	2.690722
Plate_5	16	F10	Null	152	-3.0985935	2.466147
Plate_3	17	G12	Null	481	-0.16577314	2.0776157
Plate_3_prime	23	D4	WT	358	2.689133	1.3025509
Plate_3	20	B12	Null	531	1.3258519	1.5172948
Plate_3	2	C4	WT	666	2.2674935	1.4793108
Plate_5	9	C9	Null	156	-1.8498173	-0.48695543
Plate_5	15	E2	WT	102	0.6736648	3.9010553
Plate_3_prime	13	F10	Null	63	1.6318837	0.85402596
Plate_5	21	F11	Null	135	-1.3248062	0.35788697
Plate_5	4	D2	WT	98	0.91106296	3.5305932
Plate_3	22	C2	WT	175	-1.779731	1.2724066
Plate_3	21	G4	WT	386	-0.5779235	1.5045238
Plate_3	4	F11	Null	329	-0.1423803	1.6518518
Plate_3	25	C10	Null	136	0.45153064	0.6325299
Plate_3	10	B12	Null	531	-0.2958506	0.4904
Plate_5	7	G12	Null	121	-0.05383265	2.3284018
Plate_3_prime	7	E2	WT	59	0.39123893	-0.59751236
Plate_5	9	F12	Null	124	0.72969055	2.878277
Plate_3	13	C4	WT	666	2.743984	1.2625585
Plate_3_prime	19	B10	Null	49	2.2185335	2.8240163
Plate_3_prime	13	F11	Null	100	-1.1839633	1.6553059
Plate_5	7	B10	Null	155	-2.3531752	1.213623
Plate_3_prime	10	C11	Null	54	0.7842623	1.0972242
Plate_3	8	D12	Null	623	-1.2349658	0.39435005
Plate_3	25	B2	WT	139	1.1555938	3.6833577
Plate_5	10	G12	Null	121	-0.1991472	-2.096234
Plate_3	4	C4	WT	666	2.998945	1.0485585
Plate_3	1	C9	Null	59	-0.6731036	-1.7171284
Plate_3_prime	19	E11	Null	59	-1.9809535	0.7786155
Plate_3	21	B12	Null	531	-0.9284365	-0.14584672
Plate_3_prime	5	G2	WT	94	0.48903623	-1.0008831
Plate_3	1	G3	WT	187	-1.2800019	0.8248771
Plate_3	22	B11	Null	279	-0.7826446	-1.311645
Plate_5	3	C10	Null	125	-0.40875936	-1.1804686
Plate_3	4	G12	Null	481	1.3497701	0.025560815
Plate_3	4	D4	WT	636	1.2187151	0.08555986
Plate_3	23	F3	WT	185	-0.15710275	1.8938222
Plate_5	3	G10	Null	128	1.948639	0.656147
Plate_5	20	D2	WT	98	-0.37452626	3.8846767
Plate_3	10	F3	WT	185	-2.2487807	0.6603077
Plate_3	16	E12	Null	607	1.7486857	2.141725
Plate_5	15	D11	Null	178	-2.5833008	1.8576113
Plate_5	3	D11	Null	178	-0.624285	3.496484
Plate_3	19	C11	Null	280	1.5352232	1.30224
Plate_3	13	B4	WT	559	0.88577926	1.0928403
Plate_5	12	G9	Null	149	1.5761108	2.9129732
Plate_3_prime	7	C12	Null	321	-1.1834577	0.71006256
Plate_3	10	F4	WT	438	1.7032884	0.2406585
Plate_3	16	F11	Null	329	0.7039799	-2.3876457
Plate_3	13	E12	Null	607	1.712668	-0.33597016
Plate_5	21	B4	WT	111	0.2721448	2.7578049
Plate_3_prime	20	F11	Null	100	-0.43550155	1.9894508
Plate_3_prime	8	G3	WT	248	-2.4066713	0.4928875
Plate_5	5	D9	Null	135	-2.4635136	3.6062784
Plate_3	5	D12	Null	623	1.9521445	2.296952
Plate_3	5	B3	WT	297	-0.3219305	2.3040812
Plate_5	2	C1	WT	63	2.3580737	6.5720277
Plate_3_prime	5	E12	Null	328	1.961556	2.349996
Plate_3	5	C12	Null	570	-0.20159292	1.7205875
Plate_3	18	D9	Null	48	-3.1778977	3.2499664
Plate_5	10	D10	Null	157	2.578066	1.9989789
Plate_5	14	C3	WT	117	-1.3854702	-0.033611815
Plate_3	10	C4	WT	666	2.083591	1.0442026
Plate_3_prime	9	G4	WT	388	-1.2413176	0.9881256
Plate_5	2	F2	WT	111	-2.3141615	-0.1261194
Plate_3_prime	24	C3	WT	137	0.8278507	3.55416
Plate_3	3	F4	WT	438	-1.7880844	1.0700339
Plate_3	25	C1	WT	64	-1.6004269	-0.6828744
Plate_3	12	B12	Null	531	1.1187876	-0.79315615
Plate_3	14	F12	Null	647	-0.43617094	0.81872094
Plate_3_prime	13	B2	WT	55	-0.10097335	-0.8754033
Plate_3	3	B12	Null	531	3.678001	0.8030035
Plate_3_prime	10	F3	WT	174	0.31253782	1.1881233
Plate_3_prime	9	C4	WT	127	0.852731	3.4633129
Plate_3	15	E3	WT	168	0.36732575	4.0446687
Plate_3	24	D4	WT	636	1.3286862	0.2974047
Plate_3	2	D4	WT	636	1.6420565	2.71449
Plate_3_prime	9	D12	Null	193	1.4159282	1.6356314
Plate_3	7	D4	WT	636	-0.40480813	2.1346328
Plate_3_prime	15	F11	Null	100	0.28504723	-1.5156245
Plate_3	21	D12	Null	623	-1.4941046	0.79429084
Plate_3_prime	24	B4	WT	219	1.428392	2.7863972
Plate_3	15	B2	WT	139	-1.5472074	2.89882
Plate_3	5	B4	WT	559	1.0611259	2.1679306
Plate_3_prime	5	C3	WT	137	-0.3117327	0.41301543
Plate_3_prime	25	D1	WT	46	-0.9135303	-0.57966256
Plate_3	12	C4	WT	666	-1.0052295	0.7916782
Plate_3_prime	13	E12	Null	328	3.5991182	0.69789207
Plate_5	6	B11	Null	148	0.6931268	-3.2886624
Plate_3_prime	17	F3	WT	174	0.9378417	-1.6897165
Plate_5	17	F12	Null	124	1.6573424	2.9502704
Plate_3	24	G12	Null	481	1.2661504	1.383282
Plate_3_prime	13	E11	Null	59	0.56956667	-0.6655886
Plate_5	7	E12	Null	115	0.29941997	2.6471448
Plate_3	4	B11	Null	279	0.40151763	0.46174762
Plate_3	23	D3	WT	305	-0.59782356	1.3296965
Plate_3	22	B12	Null	531	0.4866778	-2.3651586
Plate_3	7	E11	Null	331	-2.7312171	1.457521
Plate_5	21	E3	WT	120	1.1204745	2.2187364
Plate_3_prime	17	E12	Null	328	1.1756535	0.68689454
Plate_3_prime	17	E12	Null	328	0.17562626	-2.4654095
Plate_5	14	D4	WT	102	-0.5211789	3.0885048
Plate_3	2	G9	Null	56	-1.018827	0.80838627
Plate_5	8	F11	Null	135	-1.8348608	-0.119775206
Plate_3_prime	19	G4	WT	388	-1.3001677	0.9336148
Plate_3	25	D4	WT	636	2.342795	0.86671394
Plate_3_prime	14	B3	WT	76	-0.6182088	-0.5386388
Plate_3	15	C3	WT	344	0.26907802	1.0749567
Plate_3_prime	24	C3	WT	137	0.6606728	-0.7568343
Plate_3	3	E11	Null	331	-3.2803802	0.9768545
Plate_5	10	C11	Null	154	-1.010715	2.8521767
Plate_3	7	E3	WT	168	-1.6180754	0.8070108
Plate_3	22	B4	WT	559	-2.8138041	1.5520537
Plate_3	13	D9	Null	48	0.22262475	4.4469385
Plate_5	9	D11	Null	178	-0.054151066	3.1926835
Plate_3_prime	14	D11	Null	100	0.503567	-1.4712819
Plate_3_prime	13	D4	WT	358	-2.6259403	0.41603792
Plate_3_prime	25	G4	WT	388	0.053208552	2.385587
Plate_3	4	F3	WT	185	0.39982218	-3.475345
Plate_5	3	B1	WT	76	-0.6115709	0.9811005
Plate_3_prime	24	B3	WT	76	-0.23187631	2.9960554
Plate_5	12	E10	Null	132	1.3013829	0.83564556
Plate_3_prime	23	C11	Null	54	0.77761453	0.41807142
Plate_3	15	E12	Null	607	2.1433432	0.8633438
Plate_5	18	G12	Null	121	0.700708	2.5028186
Plate_3	2	E11	Null	331	-0.011695372	2.8234568
Plate_3_prime	14	G2	WT	94	0.96370155	-1.5889069
Plate_3	15	G4	WT	386	1.5930929	1.9772153
Plate_3	7	E12	Null	607	-2.705324	1.3187046
Plate_3	8	D3	WT	305	0.088094056	-1.1870257
Plate_5	1	E4	WT	85	0.0295869	-1.781892
Plate_5	1	G4	WT	99	1.2675675	2.7411785
Plate_3	2	C2	WT	175	-0.33944604	2.9904716
Plate_3	15	G10	Null	117	1.0561001	1.3155203
Plate_3	9	C2	WT	175	0.36385497	-0.921144
Plate_3	15	E3	WT	168	0.8618678	2.7765281
Plate_3_prime	4	G4	WT	388	1.4375439	0.22140406
Plate_3_prime	17	G4	WT	388	-2.2059808	1.1352782
Plate_3_prime	13	D4	WT	358	-1.346049	0.6992271
Plate_5	2	E10	Null	132	-0.26291278	0.98508954
Plate_3_prime	21	C12	Null	321	1.2377545	2.3736715
Plate_5	4	E11	Null	185	-0.6385813	2.7649
Plate_3_prime	15	E1	WT	17	0.2514064	0.53510886
Plate_5	8	B1	WT	76	-1.273022	-1.4309924
Plate_3	13	G1	WT	51	-3.405485	1.2674971
Plate_5	3	B3	WT	77	1.4284602	4.136594
Plate_3_prime	20	E12	Null	328	0.9521353	2.6284027
Plate_3	1	D9	Null	48	0.48011112	-2.603806
