Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3_prime	23	C10	Null	44	2.0251973	3.257296
Plate_5	19	G12	Null	121	-1.0364366	0.84144515
Plate_3	22	C12	Null	570	-2.0828876	-0.16607155
Plate_5	14	D2	WT	98	-3.1677597	2.333819
Plate_3	6	E11	Null	331	0.3746511	-0.34819996
Plate_5	1	B11	Null	148	0.86478364	0.13831654
Plate_5	14	B4	WT	111	0.6777763	0.5740414
Plate_3	14	C10	Null	136	0.38415247	-0.1944942
Plate_3	2	E12	Null	607	-0.47017118	-0.5138849
Plate_3_prime	23	G12	Null	187	0.49195844	-0.37162238
Plate_3_prime	21	B2	WT	55	0.8577246	0.773324
Plate_3_prime	18	B11	Null	53	0.37047547	3.2298865
Plate_3_prime	17	F3	WT	174	0.3218857	3.5271482
Plate_3_prime	25	G12	Null	187	2.203123	2.2331305
Plate_3	3	C3	WT	344	0.99343705	3.1691675
Plate_5	20	D1	WT	91	1.992219	0.35511217
Plate_3	19	D12	Null	623	1.6581465	3.7467844
Plate_5	19	E9	Null	119	-2.7146862	2.9217973
Plate_3_prime	20	C12	Null	321	1.2807205	1.8274221
Plate_5	13	E10	Null	132	-3.1758204	3.184455
Plate_3_prime	18	B12	Null	200	-1.5005504	0.8083576
Plate_3_prime	20	C12	Null	321	-0.42743117	2.0544097
Plate_3	25	B4	WT	559	0.30643576	2.7698407
Plate_3	12	G3	WT	187	-2.5934644	1.5142647
Plate_5	8	B12	Null	148	-1.2028444	0.9979315
Plate_3	25	B2	WT	139	1.2734033	2.3885257
Plate_3	23	F12	Null	647	3.0075076	1.0913873
Plate_3_prime	16	G3	WT	248	0.4368073	-1.2094293
Plate_5	10	E10	Null	132	0.24069282	2.3375196
Plate_3_prime	15	C3	WT	137	-1.5453897	1.263369
Plate_3_prime	14	G12	Null	187	-1.9734429	1.8771265
Plate_3	3	D10	Null	134	0.39461514	-3.375329
Plate_3	1	C2	WT	175	-1.862136	-1.0143359
Plate_3	10	C11	Null	280	0.98659486	0.93021685
Plate_5	9	B2	WT	97	-0.32930025	-1.490584
Plate_5	13	B12	Null	148	-0.024922885	0.16283387
Plate_3	19	F11	Null	329	-0.9628679	3.0586014
Plate_3	22	F12	Null	647	1.159539	2.7738965
Plate_5	13	D11	Null	178	-0.34605533	0.24410379
Plate_3_prime	8	D11	Null	100	-0.6635419	4.0209026
Plate_3	2	F12	Null	647	2.3460324	2.3858533
Plate_3	15	C12	Null	570	-2.3945878	-0.13951455
Plate_3_prime	4	G4	WT	388	0.25093287	4.4554815
Plate_3	22	D4	WT	636	2.4533842	1.0360333
Plate_5	20	C4	WT	103	-0.8895598	1.7263718
Plate_3	15	E12	Null	607	-1.4347076	-0.7969098
Plate_3	2	F12	Null	647	1.5606434	3.3014057
Plate_3_prime	8	G12	Null	187	0.09119649	0.15127589
Plate_3_prime	13	E4	WT	246	0.8618085	2.0965114
Plate_3	2	F2	WT	70	1.687288	2.419037
Plate_3	14	D12	Null	623	2.10501	1.1743729
Plate_3_prime	9	F4	WT	284	1.0676414	-1.5594653
Plate_3_prime	19	D12	Null	193	0.6806961	0.7512563
Plate_5	9	E3	WT	120	-0.3006728	0.25365615
Plate_3	9	F12	Null	647	2.572449	1.0653499
Plate_3	24	E11	Null	331	0.3107557	1.1197625
Plate_3	21	B11	Null	279	1.4651163	0.41963637
Plate_5	7	G2	WT	123	-2.9996583	0.91501945
Plate_3	1	D11	Null	216	2.0932105	3.3945541
Plate_3	18	B12	Null	531	-2.2781858	-0.30824113
Plate_5	10	B4	WT	111	0.795849	0.7770446
Plate_3_prime	4	F4	WT	284	-0.8721964	0.5742386
Plate_3_prime	24	D4	WT	358	2.5186243	0.97106045
Plate_3	18	F10	Null	149	-0.60090464	-1.9530215
Plate_3_prime	18	E12	Null	328	1.081627	-0.3416381
Plate_3	19	B4	WT	559	1.4641694	-0.97236603
Plate_3	19	E12	Null	607	1.5205107	4.078411
Plate_3_prime	18	G4	WT	388	-2.933746	1.3265144
Plate_3_prime	10	F11	Null	100	-0.5353979	4.0254474
Plate_5	20	D11	Null	178	-3.2021115	1.7061735
Plate_3_prime	18	C12	Null	321	0.6759743	1.2203104
Plate_3	24	B3	WT	297	0.47647476	-3.2821229
Plate_5	10	G9	Null	149	0.8704622	2.1995916
Plate_5	17	B11	Null	148	1.408349	4.028758
Plate_3	17	F11	Null	329	0.5393496	3.1436234
Plate_3	15	D4	WT	636	-2.1230392	0.382123
Plate_3_prime	17	F4	WT	284	-0.47892424	2.668432
Plate_5	5	E12	Null	115	-1.1994818	2.0265615
Plate_5	6	E3	WT	120	0.9333402	2.9773703
Plate_3	9	E12	Null	607	1.4398596	-1.2565427
Plate_5	20	F3	WT	91	1.5628183	2.8993647
Plate_3	20	D10	Null	134	-1.314549	0.47068012
Plate_3	23	C4	WT	666	-0.7175074	0.5489947
Plate_3	9	F12	Null	647	1.3699663	1.2960203
Plate_3	14	C3	WT	344	0.36197817	-2.263713
Plate_3	3	C1	WT	64	1.2576538	3.7765102
Plate_3	14	B12	Null	531	-0.80882543	-1.2609725
Plate_5	4	B2	WT	97	-1.4219182	2.7135785
Plate_3	22	F3	WT	185	-0.5496076	1.3273014
Plate_3	9	B3	WT	297	1.6516917	2.8568428
Plate_3	25	D3	WT	305	0.64614815	-3.7301824
Plate_3	18	B4	WT	559	0.40625617	-0.45698628
Plate_5	5	G9	Null	149	-2.6660645	0.51706964
Plate_3_prime	18	B12	Null	200	-2.936057	0.08627815
Plate_3	23	D3	WT	305	0.48639408	1.4221586
Plate_5	6	F4	WT	94	2.8896074	1.1194804
Plate_3	9	G12	Null	481	2.039482	2.3929455
Plate_3_prime	24	C12	Null	321	-0.16271721	2.3633537
Plate_3	11	B12	Null	531	2.1498804	0.38323224
Plate_3_prime	22	C12	Null	321	1.7878791	1.3525337
Plate_5	4	D9	Null	135	-0.26714745	-2.5245605
Plate_3_prime	4	B11	Null	53	-0.6752683	1.9521241
Plate_5	17	E11	Null	185	-2.9194512	1.4162493
Plate_5	12	D11	Null	178	0.37406474	1.861571
Plate_3	6	C4	WT	666	-2.8147953	1.1772662
Plate_5	4	B2	WT	97	-0.44132254	1.627701
Plate_3	16	F10	Null	149	-1.867551	0.21824422
Plate_3	4	F4	WT	438	1.8463176	2.5029135
Plate_5	18	F10	Null	152	-3.1567051	1.9447407
Plate_3	23	D11	Null	216	0.1485694	-2.9802024
Plate_5	4	B10	Null	155	0.8159972	3.1880956
Plate_3_prime	16	E3	WT	155	0.81678957	2.5948699
Plate_3_prime	5	C12	Null	321	1.766051	0.90006816
Plate_3_prime	23	C10	Null	44	-0.038982496	4.2167993
Plate_3	9	D12	Null	623	0.026570952	-1.2913284
Plate_3	18	E11	Null	331	-0.15701616	-0.9911391
Plate_3	8	F4	WT	438	3.7521424	0.6682689
Plate_3	17	G10	Null	117	-2.5345752	-0.61642116
Plate_3_prime	4	E12	Null	328	2.3530898	6.5495043
Plate_5	21	D2	WT	98	-0.36952946	2.1667447
Plate_3	13	E10	Null	117	1.4395833	-0.24851967
Plate_3	9	D3	WT	305	1.2607553	3.5936067
Plate_3	7	D12	Null	623	1.4839929	2.2436802
Plate_5	7	D9	Null	135	0.23992343	-0.7117727
Plate_3	22	G11	Null	250	1.4414675	0.3834973
Plate_3	15	D2	WT	151	0.042267453	-1.1932702
Plate_3	5	F12	Null	647	0.5545699	-0.390919
Plate_3	15	B4	WT	559	0.34528735	2.050416
Plate_5	9	F2	WT	111	1.3385285	2.8265636
Plate_3	12	F11	Null	329	0.98967	1.0394477
Plate_5	18	C10	Null	125	-1.757119	0.1294189
Plate_5	17	F9	Null	149	-3.1744468	0.5867089
Plate_3	25	E12	Null	607	0.025625192	0.84210515
Plate_3	10	B12	Null	531	1.0250098	1.4507884
Plate_3	9	D1	WT	34	-0.6372043	3.3732512
Plate_3	7	D12	Null	623	3.2183669	0.9785122
Plate_3	18	C4	WT	666	-2.0434868	-0.04321808
Plate_5	15	F4	WT	94	-0.020576337	-0.11895865
Plate_5	20	C3	WT	117	-2.2710123	-0.06216264
Plate_3_prime	17	C1	WT	28	-0.014147497	4.270686
Plate_3	18	C4	WT	666	0.29562402	0.20919049
Plate_5	8	F10	Null	152	0.7383319	2.5447233
Plate_5	19	C3	WT	117	-3.1563303	1.3963939
Plate_3	20	F12	Null	647	1.4292504	1.4040895
Plate_3_prime	15	D4	WT	358	1.5348288	2.1473055
Plate_3_prime	22	C3	WT	137	-1.4473959	0.0023285137
Plate_5	15	F1	WT	87	-1.8870254	1.4332376
Plate_3_prime	19	C12	Null	321	0.9614823	-0.08714951
Plate_3	13	F12	Null	647	1.2606934	2.1040869
Plate_5	3	D3	WT	128	-1.6960076	-0.8259642
Plate_3	14	F11	Null	329	-2.0697963	-0.20600532
Plate_5	20	G10	Null	128	-0.19953457	0.7351445
Plate_5	8	E12	Null	115	-0.59296054	0.43114737
Plate_3_prime	4	B4	WT	219	0.07439013	0.5450636
