Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E8	11	215	WT	Plate_6	2.9268243	0.9082963
B2	29	129	WT	Plate_6	10.898972	1.9215157
B10	36	124	WT	Plate_6	10.345181	2.3904614
G4	28	109	Null	Plate_6	4.9959483	-1.5393388
G11	12	114	Null	Plate_6	2.5129442	0.21444863
G11	4	114	Null	Plate_6	3.468825	-1.7769238
D4	29	40	Null	Plate_6	8.8312	1.4454315
G7	5	128	Null	Plate_6	4.691419	-0.9810643
D2	34	53	Null	Plate_6	9.621349	1.8967744
E7	23	194	WT	Plate_6	5.049421	-0.993627
B5	28	91	WT	Plate_6	9.424342	1.4606992
G5	14	131	Null	Plate_6	5.1926837	-0.5832158
B10	22	124	WT	Plate_6	11.260764	1.7666314
D11	33	67	Null	Plate_6	8.636136	1.5545629
B5	1	91	WT	Plate_6	10.599199	3.0341175
E8	23	215	WT	Plate_6	1.3776767	0.2821027
E10	4	224	WT	Plate_6	4.067047	-0.00070901675
E7	20	194	WT	Plate_6	4.6882243	-0.9312019
E8	7	215	WT	Plate_6	5.3990874	-0.7467661
G7	13	128	Null	Plate_6	5.2761354	1.9936876
B10	28	124	WT	Plate_6	10.509309	2.913529
G8	8	132	Null	Plate_6	1.7438872	-0.15469576
E11	29	232	WT	Plate_6	1.7300199	2.1388357
G5	34	131	Null	Plate_6	3.3594334	-1.3395234
D8	8	62	Null	Plate_6	9.58696	2.8456388
E7	5	194	WT	Plate_6	3.7662961	0.7933603
E2	6	141	WT	Plate_6	1.5708032	1.3091073
B2	27	129	WT	Plate_6	10.028074	1.4751215
E11	32	232	WT	Plate_6	3.0459943	1.7197943
E8	22	215	WT	Plate_6	0.88805276	0.34082076
E11	17	232	WT	Plate_6	5.4037538	-1.8952476
G10	6	88	Null	Plate_6	4.5617833	-1.32432
B3	16	116	WT	Plate_6	9.349072	1.8613424
E8	11	215	WT	Plate_6	3.308825	0.47313383
E6	36	144	WT	Plate_6	4.075347	0.50470877
E2	13	141	WT	Plate_6	5.756739	0.14585909
E5	18	172	WT	Plate_6	2.262486	1.921722
G11	5	114	Null	Plate_6	3.3400784	-0.813731
E11	28	232	WT	Plate_6	3.7856686	-0.6146183
G6	23	133	Null	Plate_6	2.7062705	1.5148638
G8	27	132	Null	Plate_6	1.5841974	0.5803115
G3	33	123	Null	Plate_6	4.37179	-1.1674799
B5	34	91	WT	Plate_6	10.379863	2.3617144
E3	21	161	WT	Plate_6	1.7150043	1.2238636
E8	36	215	WT	Plate_6	1.1183524	0.7409789
E9	23	251	WT	Plate_6	2.946455	-0.83677465
E6	19	144	WT	Plate_6	1.9848292	0.59560704
E3	32	161	WT	Plate_6	6.0137835	-0.5785402
B11	16	122	WT	Plate_6	10.36553	1.5302174
B10	28	124	WT	Plate_6	11.04955	1.8546065
B9	29	135	WT	Plate_6	11.032914	1.7846699
B4	26	88	WT	Plate_6	9.882666	3.6818867
B5	15	91	WT	Plate_6	9.21851	2.883496
G7	5	128	Null	Plate_6	4.626275	0.64026535
E10	36	224	WT	Plate_6	3.1443727	1.3734334
G7	10	128	Null	Plate_6	4.860796	1.4498817
B6	27	93	WT	Plate_6	10.004771	3.3380332
D9	17	74	Null	Plate_6	10.832616	1.5882812
E10	20	224	WT	Plate_6	1.2394607	0.6263905
G3	10	123	Null	Plate_6	1.6180035	0.78963834
D9	10	74	Null	Plate_6	9.697687	1.2278848
E2	13	141	WT	Plate_6	5.7651157	2.4012372
D5	6	50	Null	Plate_6	9.118667	2.6657515
E8	22	215	WT	Plate_6	3.5322914	-1.4304422
B3	26	116	WT	Plate_6	10.572085	3.0066779
E4	7	131	WT	Plate_6	3.525387	1.8324844
E9	20	251	WT	Plate_6	1.7088863	-0.30358472
B10	24	124	WT	Plate_6	9.239182	2.138695
G5	21	131	Null	Plate_6	6.0664496	-1.5233778
E7	15	194	WT	Plate_6	4.352544	-0.37693214
B11	13	122	WT	Plate_6	4.965847	-0.6845448
B2	30	129	WT	Plate_6	8.302979	2.358484
E5	18	172	WT	Plate_6	3.7957702	2.3871944
E5	36	172	WT	Plate_6	4.577992	0.101518825
G5	15	131	Null	Plate_6	4.8502603	-1.5257858
B5	35	91	WT	Plate_6	9.781674	2.6360235
D9	22	74	Null	Plate_6	8.4228	0.6299184
