Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E2	10	59	WT	Plate_3_prime	-5.933145	-2.7886856
G4	5	388	WT	Plate_3_prime	-4.1238866	2.118407
B10	12	49	Null	Plate_3_prime	-5.4471703	-2.2313051
C12	8	321	Null	Plate_3_prime	-2.6123252	0.834174
E4	19	246	WT	Plate_3_prime	-4.4348435	1.020345
F3	20	174	WT	Plate_3_prime	-4.507177	-0.62159634
G4	5	388	WT	Plate_3_prime	-4.1537333	1.3906136
E2	22	59	WT	Plate_3_prime	-6.536836	-2.142277
E4	24	246	WT	Plate_3_prime	-4.48975	1.9218588
E12	9	328	Null	Plate_3_prime	-5.8507824	1.8236578
F11	15	100	Null	Plate_3_prime	-3.6826415	-0.7153135
F4	17	284	WT	Plate_3_prime	-5.66746	0.9069321
C12	12	321	Null	Plate_3_prime	-4.167046	2.5996206
B3	10	76	WT	Plate_3_prime	-3.7061691	0.021682104
F3	24	174	WT	Plate_3_prime	-3.3397944	1.1244842
C12	5	321	Null	Plate_3_prime	-4.1228843	1.3006818
B4	13	219	WT	Plate_3_prime	-5.029682	1.3314792
C12	25	321	Null	Plate_3_prime	-5.2030015	2.7377462
F3	15	174	WT	Plate_3_prime	-4.496242	0.7282442
G2	6	94	WT	Plate_3_prime	-4.7816143	-2.5008864
G2	21	94	WT	Plate_3_prime	-5.1160808	-2.2663982
C1	13	28	WT	Plate_3_prime	-6.072012	-2.6326187
E4	23	246	WT	Plate_3_prime	-5.205063	0.54818046
G4	25	388	WT	Plate_3_prime	-5.925574	1.1288177
F4	4	284	WT	Plate_3_prime	-3.7773924	-0.08696466
F12	9	125	Null	Plate_3_prime	-5.4718347	2.3108609
G3	8	248	WT	Plate_3_prime	-7.020824	0.5765685
G3	8	248	WT	Plate_3_prime	-4.1419535	-1.1446102
C3	18	137	WT	Plate_3_prime	-4.8204446	0.7866689
F4	17	284	WT	Plate_3_prime	-4.5233746	2.0596771
F4	25	284	WT	Plate_3_prime	-4.429743	2.1304972
F3	3	174	WT	Plate_3_prime	-6.5525384	1.421932
C12	15	321	Null	Plate_3_prime	-4.700876	3.0281944
D9	16	16	Null	Plate_3_prime	-4.7057986	-1.6210256
D4	2	358	WT	Plate_3_prime	-5.8007145	0.6139076
B9	8	43	Null	Plate_3_prime	-4.922921	-1.8504612
B4	10	219	WT	Plate_3_prime	-7.4126167	1.5321008
F9	17	29	Null	Plate_3_prime	-4.839544	-1.9733381
G12	25	187	Null	Plate_3_prime	-2.7042542	0.5068498
E4	5	246	WT	Plate_3_prime	-5.5171337	2.6936965
G3	12	248	WT	Plate_3_prime	-4.686132	0.6511528
